username,repo_name,stars,repo_url
neovim,neovim,55800,https://github.com/neovim/neovim
coolsnowwolf,lede,22300,https://github.com/coolsnowwolf/lede
SpaceVim,SpaceVim,18600,https://github.com/SpaceVim/SpaceVim
cocos2d,cocos2d-x,16300,https://github.com/cocos2d/cocos2d-x
lionsoul2014,ip2region,11000,https://github.com/lionsoul2014/ip2region
NvChad,NvChad,10800,https://github.com/NvChad/NvChad
spotify,annoy,10000,https://github.com/spotify/annoy
apache,apisix,9700,https://github.com/apache/apisix
LunarVim,LunarVim,9500,https://github.com/LunarVim/LunarVim
Hammerspoon,hammerspoon,9400,https://github.com/Hammerspoon/hammerspoon
codota,TabNine,9300,https://github.com/codota/TabNine
lk-geimfari,awesomo,8400,https://github.com/lk-geimfari/awesomo
Tencent,xLua,7800,https://github.com/Tencent/xLua
minetest,minetest,7300,https://github.com/minetest/minetest
nodemcu,nodemcu-firmware,7100,https://github.com/nodemcu/nodemcu-firmware
nmap,nmap,6500,https://github.com/nmap/nmap
nvim-telescope,telescope.nvim,6500,https://github.com/nvim-telescope/telescope.nvim
brndnmtthws,conky,5600,https://github.com/brndnmtthws/conky
xmake-io,xmake,5200,https://github.com/xmake-io/xmake
awesomeWM,awesome,4900,https://github.com/awesomeWM/awesome
yuin,gopher-lua,4900,https://github.com/yuin/gopher-lua
akopytov,sysbench,4600,https://github.com/akopytov/sysbench
cuberite,cuberite,4300,https://github.com/cuberite/cuberite
martanne,vis,3800,https://github.com/martanne/vis
turanszkij,WickedEngine,3800,https://github.com/turanszkij/WickedEngine
nanotee,nvim-lua-guide,3700,https://github.com/nanotee/nvim-lua-guide
alibaba,LuaViewSDK,3600,https://github.com/alibaba/LuaViewSDK
luvit,luvit,3500,https://github.com/luvit/luvit
AstroNvim,AstroNvim,3500,https://github.com/AstroNvim/AstroNvim
wbthomason,packer.nvim,3300,https://github.com/wbthomason/packer.nvim
