username,repo_name,stars,repo_url
curlconverter,curlconverter,5700,https://github.com/curlconverter/curlconverter
PRML,PRMLT,5600,https://github.com/PRML/PRMLT
ZheC,Realtime_Multi-Person_Pose_Estimation,4900,https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation
flybywiresim,a32nx,4300,https://github.com/flybywiresim/a32nx
zhanwen,MathModel,4400,https://github.com/zhanwen/MathModel
Chakazul,Lenia,2900,https://github.com/Chakazul/Lenia
ZachL1,Bilibili-plus,2500,https://github.com/ZachL1/Bilibili-plus
kaxap,arl,1700,https://github.com/kaxap/arl
HuangCongQing,Algorithms_MathModels,1500,https://github.com/HuangCongQing/Algorithms_MathModels
personqianduixue,Math_Model,1300,https://github.com/personqianduixue/Math_Model
matlab2tikz,matlab2tikz,1200,https://github.com/matlab2tikz/matlab2tikz
casadi,casadi,1000,https://github.com/casadi/casadi
bytefish,facerec,936,https://github.com/bytefish/facerec
pptacher,probabilistic_robotics,965,https://github.com/pptacher/probabilistic_robotics
scottclowe,matlab-schemer,919,https://github.com/scottclowe/matlab-schemer
analyticalmonk,awesome-neuroscience,914,https://github.com/analyticalmonk/awesome-neuroscience
JalaliLabUCLA,Image-feature-detection-using-Phase-Stretch-Transform,828,https://github.com/JalaliLabUCLA/Image-feature-detection-using-Phase-Stretch-Transform
petercorke,robotics-toolbox-matlab,888,https://github.com/petercorke/robotics-toolbox-matlab
BIMK,PlatEMO,787,https://github.com/BIMK/PlatEMO
trekhleb,machine-learning-octave,733,https://github.com/trekhleb/machine-learning-octave
andrewssobral,lrslibrary,711,https://github.com/andrewssobral/lrslibrary
JSBSim-Team,jsbsim,682,https://github.com/JSBSim-Team/jsbsim
fieldtrip,fieldtrip,641,https://github.com/fieldtrip/fieldtrip
piermorel,gramm,645,https://github.com/piermorel/gramm
oneTaken,awesome_deep_learning_interpretability,585,https://github.com/oneTaken/awesome_deep_learning_interpretability
DrTimothyAldenDavis,SuiteSparse,619,https://github.com/DrTimothyAldenDavis/SuiteSparse
benfulcher,hctsa,533,https://github.com/benfulcher/hctsa
MinZHANG-WHU,Change-Detection-Review,552,https://github.com/MinZHANG-WHU/Change-Detection-Review
mathworks,MathWorks-Excellence-in-Innovation,461,https://github.com/mathworks/MathWorks-Excellence-in-Innovation
AtsushiSakai,MATLABRobotics,437,https://github.com/AtsushiSakai/MATLABRobotics
