username,repo_name,stars,repo_url
tensorflow,tensorflow,166000,https://github.com/tensorflow/tensorflow
huggingface,transformers,67200,https://github.com/huggingface/transformers
pytorch,pytorch,57400,https://github.com/pytorch/pytorch
keras-team,keras,55700,https://github.com/keras-team/keras
scikit-learn,scikit-learn,50800,https://github.com/scikit-learn/scikit-learn
tesseract-ocr,tesseract,46000,https://github.com/tesseract-ocr/tesseract
ageitgey,face_recognition,45200,https://github.com/ageitgey/face_recognition
aymericdamien,TensorFlow-Examples,42100,https://github.com/aymericdamien/TensorFlow-Examples
deepfakes,faceswap,41800,https://github.com/deepfakes/faceswap
JuliaLang,julia,39900,https://github.com/JuliaLang/julia
microsoft,ML-For-Beginners,39800,https://github.com/microsoft/ML-For-Beginners
Developer-Y,cs-video-courses,39800,https://github.com/Developer-Y/cs-video-courses
binhnguyennus,awesome-scalability,39600,https://github.com/binhnguyennus/awesome-scalability
Avik-Jain,100-Days-Of-ML-Code,38000,https://github.com/Avik-Jain/100-Days-Of-ML-Code
iperov,DeepFaceLab,33900,https://github.com/iperov/DeepFaceLab
d2l-ai,d2l-zh,33800,https://github.com/d2l-ai/d2l-zh
BVLC,caffe,32800,https://github.com/BVLC/caffe
GokuMohandas,Made-With-ML,30400,https://github.com/GokuMohandas/Made-With-ML
ultralytics,yolov5,29000,https://github.com/ultralytics/yolov5
ZuzooVn,machine-learning-for-software-engineers,26000,https://github.com/ZuzooVn/machine-learning-for-software-engineers
fengdu78,Coursera-ML-AndrewNg-Notes,25500,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes
ageron,handson-ml,24600,https://github.com/ageron/handson-ml
CMU-Perceptual-Computing-Lab,openpose,24600,https://github.com/CMU-Perceptual-Computing-Lab/openpose
google-research,google-research,24200,https://github.com/google-research/google-research
terryum,awesome-deep-learning-papers,23800,https://github.com/terryum/awesome-deep-learning-papers
explosion,spaCy,23800,https://github.com/explosion/spaCy
donnemartin,data-science-ipython-notebooks,23300,https://github.com/donnemartin/data-science-ipython-notebooks
dmlc,xgboost,23000,https://github.com/dmlc/xgboost
fastai,fastai,22500,https://github.com/fastai/fastai
photoprism,photoprism,21400,https://github.com/photoprism/photoprism
