username,repo_name,stars,repo_url
jekyll,jekyll,45000,https://github.com/jekyll/jekyll
prettier,prettier,43400,https://github.com/prettier/prettier
Textualize,rich,38600,https://github.com/Textualize/rich
marktext,marktext,33900,https://github.com/marktext/marktext
markedjs,marked,27900,https://github.com/markedjs/marked
jgm,pandoc,26000,https://github.com/jgm/pandoc
docsifyjs,docsify,21200,https://github.com/docsifyjs/docsify
notable,notable,20000,https://github.com/notable/notable
benweet,stackedit,19400,https://github.com/benweet/stackedit
requarks,wiki,18100,https://github.com/requarks/wiki
GitHubDaily,GitHubDaily,16000,https://github.com/GitHubDaily/GitHubDaily
logseq,logseq,15300,https://github.com/logseq/logseq
nhn,tui.editor,14900,https://github.com/nhn/tui.editor
mkdocs,mkdocs,14500,https://github.com/mkdocs/mkdocs
erusev,parsedown,14200,https://github.com/erusev/parsedown
markdown-it,markdown-it,13800,https://github.com/markdown-it/markdown-it
mdx-js,mdx,13500,https://github.com/mdx-js/mdx
getgrav,grav,13400,https://github.com/getgrav/grav
showdownjs,showdown,12600,https://github.com/showdownjs/showdown
foambubble,foam,12300,https://github.com/foambubble/foam
pandao,editor.md,12300,https://github.com/pandao/editor.md
gnab,remark,12000,https://github.com/gnab/remark
sparanoid,chinese-copywriting-guidelines,11700,https://github.com/sparanoid/chinese-copywriting-guidelines
rahuldkjain,github-profile-readme-generator,10900,https://github.com/rahuldkjain/github-profile-readme-generator
jxnblk,mdx-deck,10800,https://github.com/jxnblk/mdx-deck
haiwen,seafile,9900,https://github.com/haiwen/seafile
ksky521,nodeppt,9800,https://github.com/ksky521/nodeppt
stylelint,stylelint,9800,https://github.com/stylelint/stylelint
charmbracelet,glow,9600,https://github.com/charmbracelet/glow
vnotex,vnote,9500,https://github.com/vnotex/vnote
