username,repo_name,stars,repo_url
mastodon,mastodon,29600,https://github.com/mastodon/mastodon
TwidereProject,Twidere-Android,2600,https://github.com/TwidereProject/Twidere-Android
mastodon,documentation,1500,https://github.com/mastodon/documentation
tuskyapp,Tusky,1300,https://github.com/tuskyapp/Tusky
nolanlawson,pinafore,687,https://github.com/nolanlawson/pinafore
h3poteto,whalebird-desktop,605,https://github.com/h3poteto/whalebird-desktop
superseriousbusiness,gotosocial,565,https://github.com/superseriousbusiness/gotosocial
kha7iq,pingme,533,https://github.com/kha7iq/pingme
ihabunek,toot,553,https://github.com/ihabunek/toot
renatolond,mastodon-twitter-poster,497,https://github.com/renatolond/mastodon-twitter-poster
rustodon,rustodon,512,https://github.com/rustodon/rustodon
Aardwolf-Social,aardwolf,422,https://github.com/Aardwolf-Social/aardwolf
tleb,awesome-mastodon,408,https://github.com/tleb/awesome-mastodon
Wonderfall,dockerfiles,393,https://github.com/Wonderfall/dockerfiles
rhysd,Mstdn,392,https://github.com/rhysd/Mstdn
bleakgrey,tootle,389,https://github.com/bleakgrey/tootle
mastodon,mastodon-ios,386,https://github.com/mastodon/mastodon-ios
ethibox,awesome-stacks,380,https://github.com/ethibox/awesome-stacks
nextcloud,social,368,https://github.com/nextcloud/social
mattn,go-mastodon,352,https://github.com/mattn/go-mastodon
mastodon,mastodon-android,314,https://github.com/mastodon/mastodon-android
wabarc,wayback,287,https://github.com/wabarc/wayback
joyeusenoelle,GuideToMastodon,278,https://github.com/joyeusenoelle/GuideToMastodon
norweeg,self-hosted-docker-server-templates,267,https://github.com/norweeg/self-hosted-docker-server-templates
FedStoa,moa,269,https://github.com/FedStoa/moa
magicalraccoon,tootstream,243,https://github.com/magicalraccoon/tootstream
NicolasConstant,sengi,241,https://github.com/NicolasConstant/sengi
yogthos,mastodon-bot,179,https://github.com/yogthos/mastodon-bot
ncarlier,feedpushr,194,https://github.com/ncarlier/feedpushr
RasmusLindroth,tut,166,https://github.com/RasmusLindroth/tut
