username,repo_name,stars,repo_url
flutter,flutter,143000,https://github.com/flutter/flutter
mui,material-ui,79900,https://github.com/mui/material-ui
ionic-team,ionic-framework,47700,https://github.com/ionic-team/ionic-framework
google,material-design-icons,46200,https://github.com/google/material-design-icons
Solido,awesome-flutter,41700,https://github.com/Solido/awesome-flutter
Dogfalo,materialize,38700,https://github.com/Dogfalo/materialize
vuetifyjs,vuetify,34800,https://github.com/vuetifyjs/vuetify
google,material-design-lite,32100,https://github.com/google/material-design-lite
angular,components,22800,https://github.com/angular/components
mdbootstrap,mdb-ui-kit,22500,https://github.com/mdbootstrap/mdb-ui-kit
quasarframework,quasar,21600,https://github.com/quasarframework/quasar
HeroTransitions,Hero,20900,https://github.com/HeroTransitions/Hero
afollestad,material-dialogs,19300,https://github.com/afollestad/material-dialogs
iampawan,FlutterExampleApps,17100,https://github.com/iampawan/FlutterExampleApps
framework7io,framework7,16800,https://github.com/framework7io/framework7
angular,material,16700,https://github.com/angular/material
material-components,material-components-web,16300,https://github.com/material-components/material-components-web
material-components,material-components-android,13800,https://github.com/material-components/material-components-android
froala,design-blocks,13400,https://github.com/froala/design-blocks
MaterialDesignInXAML,MaterialDesignInXamlToolkit,12500,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
CosmicMind,Material,11900,https://github.com/CosmicMind/Material
mikepenz,MaterialDrawer,11600,https://github.com/mikepenz/MaterialDrawer
wenzhixin,bootstrap-table,11300,https://github.com/wenzhixin/bootstrap-table
equinusocio,material-theme,11100,https://github.com/equinusocio/material-theme
Ramotion,animated-tab-bar,11000,https://github.com/Ramotion/animated-tab-bar
squidfunk,mkdocs-material,10400,https://github.com/squidfunk/mkdocs-material
Templarian,MaterialDesign,10200,https://github.com/Templarian/MaterialDesign
creativetimofficial,material-dashboard,10200,https://github.com/creativetimofficial/material-dashboard
AppIntro,AppIntro,10100,https://github.com/AppIntro/AppIntro
Ramotion,folding-cell,10100,https://github.com/Ramotion/folding-cell
