username,repo_name,stars,repo_url
GoogleContainerTools,jib,12000,https://github.com/GoogleContainerTools/jib
bytedeco,javacv,6000,https://github.com/bytedeco/javacv
zhanglei-workspace,shopping-management-system,4300,https://github.com/zhanglei-workspace/shopping-management-system
java-aodeng,hope-boot,3200,https://github.com/java-aodeng/hope-boot
apache,maven,3200,https://github.com/apache/maven
rubenlagus,TelegramBots,3100,https://github.com/rubenlagus/TelegramBots
Kotlin,kotlin-examples,3100,https://github.com/Kotlin/kotlin-examples
ZHENFENG13,My-Blog,2700,https://github.com/ZHENFENG13/My-Blog
diffplug,spotless,2700,https://github.com/diffplug/spotless
spotify,dockerfile-maven,2600,https://github.com/spotify/dockerfile-maven
spotify,docker-maven-plugin,2600,https://github.com/spotify/docker-maven-plugin
jitpack,jitpack.io,2300,https://github.com/jitpack/jitpack.io
bytedeco,javacpp-presets,2100,https://github.com/bytedeco/javacpp-presets
bonigarcia,webdrivermanager,2000,https://github.com/bonigarcia/webdrivermanager
vector4wang,spring-boot-quick,2000,https://github.com/vector4wang/spring-boot-quick
apache,maven-mvnd,2000,https://github.com/apache/maven-mvnd
sanluan,PublicCMS,1800,https://github.com/sanluan/PublicCMS
ZHENFENG13,ssm-demo,1700,https://github.com/ZHENFENG13/ssm-demo
fabric8io,docker-maven-plugin,1600,https://github.com/fabric8io/docker-maven-plugin
henryyan,kft-activiti-demo,1600,https://github.com/henryyan/kft-activiti-demo
iBase4J,iBase4J,1600,https://github.com/iBase4J/iBase4J
aliyun,aliyun-openapi-java-sdk,1300,https://github.com/aliyun/aliyun-openapi-java-sdk
codenameone,CodenameOne,1300,https://github.com/codenameone/CodenameOne
apereo,cas-overlay-template,1000,https://github.com/apereo/cas-overlay-template
scala-steward-org,scala-steward,1000,https://github.com/scala-steward-org/scala-steward
IanDarwin,Android-Cookbook-Examples,974,https://github.com/IanDarwin/Android-Cookbook-Examples
gardncl,elements-of-programming-interviews,854,https://github.com/gardncl/elements-of-programming-interviews
javafx-maven-plugin,javafx-maven-plugin,817,https://github.com/javafx-maven-plugin/javafx-maven-plugin
vanniktech,gradle-maven-publish-plugin,757,https://github.com/vanniktech/gradle-maven-publish-plugin
spockframework,spock-example,697,https://github.com/spockframework/spock-example
