username,repo_name,stars,repo_url
fogleman,Craft,9300,https://github.com/fogleman/Craft
dnschneid,crouton,8100,https://github.com/dnschneid/crouton
PaperMC,Paper,6500,https://github.com/PaperMC/Paper
MinecraftForge,MinecraftForge,5600,https://github.com/MinecraftForge/MinecraftForge
nuno-faria,tiler,5300,https://github.com/nuno-faria/tiler
cabaletta,baritone,4700,https://github.com/cabaletta/baritone
cuberite,cuberite,4300,https://github.com/cuberite/cuberite
huanghongxun,HMCL,4100,https://github.com/huanghongxun/HMCL
CaffeineMC,sodium-fabric,3600,https://github.com/CaffeineMC/sodium-fabric
MultiMC,Launcher,3500,https://github.com/MultiMC/Launcher
GeyserMC,Geyser,3400,https://github.com/GeyserMC/Geyser
PojavLauncherTeam,PojavLauncher,2900,https://github.com/PojavLauncherTeam/PojavLauncher
PrismarineJS,mineflayer,3000,https://github.com/PrismarineJS/mineflayer
pmmp,PocketMine-MP,2800,https://github.com/pmmp/PocketMine-MP
EngineHub,WorldEdit,2500,https://github.com/EngineHub/WorldEdit
toolbox4minecraft,amidst,2000,https://github.com/toolbox4minecraft/amidst
Querz,mcaselector,1800,https://github.com/Querz/mcaselector
icexin,gocraft,1700,https://github.com/icexin/gocraft
microsoft,pxt,1700,https://github.com/microsoft/pxt
feather-rs,feather,1800,https://github.com/feather-rs/feather
GlowstoneMC,Glowstone,1600,https://github.com/GlowstoneMC/Glowstone
MCSManager,MCSManager,1600,https://github.com/MCSManager/MCSManager
PistonDevelopers,hematite,1600,https://github.com/PistonDevelopers/hematite
PolyMC,PolyMC,1600,https://github.com/PolyMC/PolyMC
LuckPerms,LuckPerms,1500,https://github.com/LuckPerms/LuckPerms
CaffeineMC,lithium-fabric,1500,https://github.com/CaffeineMC/lithium-fabric
Minestom,Minestom,1500,https://github.com/Minestom/Minestom
Luohuayu,CatServer,1400,https://github.com/Luohuayu/CatServer
EssentialsX,Essentials,1400,https://github.com/EssentialsX/Essentials
MightyPirates,OpenComputers,1300,https://github.com/MightyPirates/OpenComputers
