username,repo_name,stars,repo_url
flutter,flutter,143000,https://github.com/flutter/flutter
ionic-team,ionic-framework,47700,https://github.com/ionic-team/ionic-framework
Solido,awesome-flutter,41700,https://github.com/Solido/awesome-flutter
fastlane,fastlane,35600,https://github.com/fastlane/fastlane
nolimits4web,swiper,31800,https://github.com/nolimits4web/swiper
jondot,awesome-react-native,31700,https://github.com/jondot/awesome-react-native
youzan,vant,19900,https://github.com/youzan/vant
alibaba,weex,17900,https://github.com/alibaba/weex
expo,expo,16900,https://github.com/expo/expo
framework7io,framework7,16800,https://github.com/framework7io/framework7
matomo-org,matomo,16600,https://github.com/matomo-org/matomo
ElemeFE,mint-ui,16500,https://github.com/ElemeFE/mint-ui
realm,realm-swift,15400,https://github.com/realm/realm-swift
Tencent,vConsole,14800,https://github.com/Tencent/vConsole
liriliri,eruda,12500,https://github.com/liriliri/eruda
aurelia,framework,11700,https://github.com/aurelia/framework
realm,realm-java,11300,https://github.com/realm/realm-java
taye,interact.js,11000,https://github.com/taye/interact.js
ant-design,ant-design-mobile,10400,https://github.com/ant-design/ant-design-mobile
vuestorefront,vue-storefront,10000,https://github.com/vuestorefront/vue-storefront
Tencent,wcdb,9400,https://github.com/Tencent/wcdb
AlloyTeam,Mars,9400,https://github.com/AlloyTeam/Mars
didi,chameleon,8900,https://github.com/didi/chameleon
mvt-project,mvt,7900,https://github.com/mvt-project/mvt
alibaba,rax,7700,https://github.com/alibaba/rax
antvis,F2,7700,https://github.com/antvis/F2
jonataslaw,getx,7000,https://github.com/jonataslaw/getx
uber,RIBs,7000,https://github.com/uber/RIBs
Tencent,Hippy,6600,https://github.com/Tencent/Hippy
PaddlePaddle,Paddle-Lite,6100,https://github.com/PaddlePaddle/Paddle-Lite
