username,repo_name,stars,repo_url
monero-project,monero,7100,https://github.com/monero-project/monero
xmrig,xmrig,7100,https://github.com/xmrig/xmrig
yjjnls,awesome-blockchain,2400,https://github.com/yjjnls/awesome-blockchain
cazala,coin-hive,1900,https://github.com/cazala/coin-hive
MultiPoolMiner,MultiPoolMiner,833,https://github.com/MultiPoolMiner/MultiPoolMiner
Cyclenerd,ethereum_nvidia_miner,828,https://github.com/Cyclenerd/ethereum_nvidia_miner
xmrig,xmrig-nvidia,639,https://github.com/xmrig/xmrig-nvidia
oliverw,miningcore,591,https://github.com/oliverw/miningcore
lucasjones,cpuminer-multi,592,https://github.com/lucasjones/cpuminer-multi
deepwn,deepMiner,525,https://github.com/deepwn/deepMiner
nanopool,nanominer,523,https://github.com/nanopool/nanominer
haveno-dex,haveno,517,https://github.com/haveno-dex/haveno
SChernykh,p2pool,512,https://github.com/SChernykh/p2pool
AleoHQ,wagyu,501,https://github.com/AleoHQ/wagyu
xmrig,xmrig-proxy,487,https://github.com/xmrig/xmrig-proxy
bradoyler,xmr-miner,487,https://github.com/bradoyler/xmr-miner
sammy007,monero-stratum,470,https://github.com/sammy007/monero-stratum
UnamSanctam,SilentXMRMiner,462,https://github.com/UnamSanctam/SilentXMRMiner
comit-network,xmr-btc-swap,441,https://github.com/comit-network/xmr-btc-swap
cazala,coin-hive-stratum,406,https://github.com/cazala/coin-hive-stratum
UnamSanctam,SilentCryptoMiner,418,https://github.com/UnamSanctam/SilentCryptoMiner
xmrig,xmrig-amd,378,https://github.com/xmrig/xmrig-amd
moneroexamples,onion-monero-blockchain-explorer,273,https://github.com/moneroexamples/onion-monero-blockchain-explorer
jtgrassie,monero-pool,280,https://github.com/jtgrassie/monero-pool
x25,coinhive-stratum-mining-proxy,254,https://github.com/x25/coinhive-stratum-mining-proxy
monerobook,monerobook,252,https://github.com/monerobook/monerobook
cake-tech,cake_wallet,236,https://github.com/cake-tech/cake_wallet
ognus,wallet-address-validator,241,https://github.com/ognus/wallet-address-validator
notgiven688,webminerpool,238,https://github.com/notgiven688/webminerpool
nemosminer,NemosMiner,224,https://github.com/nemosminer/NemosMiner
