username,repo_name,stars,repo_url
macrozheng,mall,59800,https://github.com/macrozheng/mall
meteor,meteor,42900,https://github.com/meteor/meteor
ityouknow,spring-boot-examples,27800,https://github.com/ityouknow/spring-boot-examples
prisma,prisma,24300,https://github.com/prisma/prisma
mongodb,mongo,22100,https://github.com/mongodb/mongo
parse-community,parse-server,19600,https://github.com/parse-community/parse-server
nswbmw,N-blog,15100,https://github.com/nswbmw/N-blog
NodeBB,NodeBB,12700,https://github.com/NodeBB/NodeBB
linnovate,mean,12200,https://github.com/linnovate/mean
reactioncommerce,reaction,11800,https://github.com/reactioncommerce/reaction
bailicangdu,node-elm,11600,https://github.com/bailicangdu/node-elm
macrozheng,mall-learning,11100,https://github.com/macrozheng/mall-learning
HabitRPG,habitica,9200,https://github.com/HabitRPG/habitica
golang-migrate,migrate,9200,https://github.com/golang-migrate/migrate
macrozheng,mall-swarm,8800,https://github.com/macrozheng/mall-swarm
digoal,blog,6800,https://github.com/digoal/blog
pyeve,eve,6500,https://github.com/pyeve/eve
RichardKnop,machinery,6400,https://github.com/RichardKnop/machinery
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
jenssegers,laravel-mongodb,6100,https://github.com/jenssegers/laravel-mongodb
samuelclay,NewsBlur,6000,https://github.com/samuelclay/NewsBlur
donnemartin,dev-setup,5800,https://github.com/donnemartin/dev-setup
yinxin630,fiora,5200,https://github.com/yinxin630/fiora
SoftwareBrothers,adminjs,5300,https://github.com/SoftwareBrothers/adminjs
madhums,node-express-mongoose-demo,5000,https://github.com/madhums/node-express-mongoose-demo
payloadcms,payload,5300,https://github.com/payloadcms/payload
mikro-orm,mikro-orm,4800,https://github.com/mikro-orm/mikro-orm
FAQGURU,FAQGURU,4800,https://github.com/FAQGURU/FAQGURU
backup,backup,4700,https://github.com/backup/backup
santiq,bulletproof-nodejs,4700,https://github.com/santiq/bulletproof-nodejs
