username,repo_name,stars,repo_url
bailicangdu,node-elm,11600,https://github.com/bailicangdu/node-elm
madhums,node-express-mongoose-demo,5000,https://github.com/madhums/node-express-mongoose-demo
santiq,bulletproof-nodejs,4700,https://github.com/santiq/bulletproof-nodejs
hagopj13,node-express-boilerplate,4300,https://github.com/hagopj13/node-express-boilerplate
async-labs,builderbook,3200,https://github.com/async-labs/builderbook
async-labs,saas,3000,https://github.com/async-labs/saas
kunalkapadia,express-mongoose-es6-rest-api,2900,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
developit,express-es6-rest-api,2400,https://github.com/developit/express-es6-rest-api
konstantinmuenster,notion-clone,2400,https://github.com/konstantinmuenster/notion-clone
ladjs,lad,2200,https://github.com/ladjs/lad
nodkz,mongodb-memory-server,1900,https://github.com/nodkz/mongodb-memory-server
danielfsousa,express-rest-boilerplate,2000,https://github.com/danielfsousa/express-rest-boilerplate
Nealyang,React-Express-Blog-Demo,1900,https://github.com/Nealyang/React-Express-Blog-Demo
afteracademy,nodejs-backend-architecture-typescript,1800,https://github.com/afteracademy/nodejs-backend-architecture-typescript
harryheman,React-Total,1800,https://github.com/harryheman/React-Total
typegoose,typegoose,1800,https://github.com/typegoose/typegoose
diegohaz,rest,1700,https://github.com/diegohaz/rest
OmarElgabry,chat.io,1400,https://github.com/OmarElgabry/chat.io
DavideViolante,Angular-Full-Stack,1400,https://github.com/DavideViolante/Angular-Full-Stack
basir,node-react-ecommerce,1400,https://github.com/basir/node-react-ecommerce
ljlm0402,typescript-express-starter,1400,https://github.com/ljlm0402/typescript-express-starter
madhums,node-express-mongoose,1300,https://github.com/madhums/node-express-mongoose
azat-co,cheatsheets,1300,https://github.com/azat-co/cheatsheets
szokodiakos,typegoose,1200,https://github.com/szokodiakos/typegoose
mengsixing,cdfang-spider,1200,https://github.com/mengsixing/cdfang-spider
JKHeadley,rest-hapi,1100,https://github.com/JKHeadley/rest-hapi
panshak,arc,1200,https://github.com/panshak/arc
surmon-china,nodepress,1100,https://github.com/surmon-china/nodepress
mongoosastic,mongoosastic,1000,https://github.com/mongoosastic/mongoosastic
wmui,essay,936,https://github.com/wmui/essay
