username,repo_name,stars,repo_url
netdata,netdata,60000,https://github.com/netdata/netdata
grafana,grafana,50000,https://github.com/grafana/grafana
prometheus,prometheus,43400,https://github.com/prometheus/prometheus
Unitech,pm2,37400,https://github.com/Unitech/pm2
huginn,huginn,36100,https://github.com/huginn/huginn
getsentry,sentry,31400,https://github.com/getsentry/sentry
influxdata,influxdb,23800,https://github.com/influxdata/influxdb
nicolargo,glances,20800,https://github.com/nicolargo/glances
louislam,uptime-kuma,19200,https://github.com/louislam/uptime-kuma
osquery,osquery,19100,https://github.com/osquery/osquery
didi,DoKit,18800,https://github.com/didi/DoKit
taosdata,TDengine,18700,https://github.com/taosdata/TDengine
dianping,cat,16900,https://github.com/dianping/cat
allinurl,goaccess,14900,https://github.com/allinurl/goaccess
bcicen,ctop,13100,https://github.com/bcicen/ctop
cilium,cilium,12500,https://github.com/cilium/cilium
pinpoint-apm,pinpoint,12300,https://github.com/pinpoint-apm/pinpoint
influxdata,telegraf,11700,https://github.com/influxdata/telegraf
bettercap,bettercap,11500,https://github.com/bettercap/bettercap
sqshq,sampler,10400,https://github.com/sqshq/sampler
afaqurk,linux-dash,10000,https://github.com/afaqurk/linux-dash
aksakalli,gtop,9200,https://github.com/aksakalli/gtop
questdb,questdb,8900,https://github.com/questdb/questdb
dastergon,awesome-sre,8600,https://github.com/dastergon/awesome-sre
giampaolo,psutil,8500,https://github.com/giampaolo/psutil
oguzhaninan,Stacer,7800,https://github.com/oguzhaninan/Stacer
winsiderss,systeminformer,7700,https://github.com/winsiderss/systeminformer
gao-sun,eul,7800,https://github.com/gao-sun/eul
upgundecha,howtheysre,7500,https://github.com/upgundecha/howtheysre
fail2ban,fail2ban,7300,https://github.com/fail2ban/fail2ban
