username,repo_name,stars,repo_url
MvvmCross,MvvmCross,3700,https://github.com/MvvmCross/MvvmCross
MvvmCross,MvvmCross-Samples,312,https://github.com/MvvmCross/MvvmCross-Samples
Baseflow,Chameleon,147,https://github.com/Baseflow/Chameleon
MvvmCross,NPlus1DaysOfMvvmCross,149,https://github.com/MvvmCross/NPlus1DaysOfMvvmCross
Plac3hold3r,MvxScaffolding,120,https://github.com/Plac3hold3r/MvxScaffolding
Cheesebaron,Cheesebaron.MvxPlugins,90,https://github.com/Cheesebaron/Cheesebaron.MvxPlugins
Nethereum,Nethereum.UI.Wallet.Sample,73,https://github.com/Nethereum/Nethereum.UI.Wallet.Sample
Baseflow,MvxForms,45,https://github.com/Baseflow/MvxForms
rogerwcpt,xamarin-mvvvm-frameworks,41,https://github.com/rogerwcpt/xamarin-mvvvm-frameworks
grendio,XBottomSheet,36,https://github.com/grendio/XBottomSheet
DominicMaas,SoundByteOSS,36,https://github.com/DominicMaas/SoundByteOSS
mgj,MvvmCross-Dreams,30,https://github.com/mgj/MvvmCross-Dreams
JTOne123,XamFormsMvxTemplate,27,https://github.com/JTOne123/XamFormsMvxTemplate
softlion,XamSvg-Samples,25,https://github.com/softlion/XamSvg-Samples
nmilcoff,TagsView,19,https://github.com/nmilcoff/TagsView
zleao,MvvmCross-Extensions,19,https://github.com/zleao/MvvmCross-Extensions
AppRopio,AppRopio.Mobile,16,https://github.com/AppRopio/AppRopio.Mobile
jimbobbennett,MvvmCross-VisualStudioAddIn,13,https://github.com/jimbobbennett/MvvmCross-VisualStudioAddIn
wcoder,MvvmCrossStarterKit,10,https://github.com/wcoder/MvvmCrossStarterKit
TorisanKitsune,MinoriEditorShell,11,https://github.com/TorisanKitsune/MinoriEditorShell
entdark,JKChat,10,https://github.com/entdark/JKChat
Danielbahe,Xamarin.Popups,9,https://github.com/Danielbahe/Xamarin.Popups
jsuarezruiz,mvxforms-samples,8,https://github.com/jsuarezruiz/mvxforms-samples
MeshackMusundi,StaffStuff-MvvmCross,8,https://github.com/MeshackMusundi/StaffStuff-MvvmCross
heytherewill,MvvmCross.FSharp,7,https://github.com/heytherewill/MvvmCross.FSharp
Plac3hold3r,PH.SharedElement,6,https://github.com/Plac3hold3r/PH.SharedElement
isax5,Hymnal-Xamarin,6,https://github.com/isax5/Hymnal-Xamarin
daniel-p,XamarinWorkshop-GetReal,4,https://github.com/daniel-p/XamarinWorkshop-GetReal
eiadxp,MvvmCross.Platforms.Wpf.ItemsViewPresenter,4,https://github.com/eiadxp/MvvmCross.Platforms.Wpf.ItemsViewPresenter
rogerwcpt,weissdigital.xamarin.addins.mvxcontentpage,4,https://github.com/rogerwcpt/weissdigital.xamarin.addins.mvxcontentpage
