username,repo_name,stars,repo_url
Snailclimb,JavaGuide,125000,https://github.com/Snailclimb/JavaGuide
macrozheng,mall,59800,https://github.com/macrozheng/mall
grafana,grafana,50000,https://github.com/grafana/grafana
strapi,strapi,46400,https://github.com/strapi/strapi
pingcap,tidb,31900,https://github.com/pingcap/tidb
AobingJava,JavaFamily,31300,https://github.com/AobingJava/JavaFamily
metabase,metabase,29200,https://github.com/metabase/metabase
nocodb,nocodb,28900,https://github.com/nocodb/nocodb
typeorm,typeorm,28800,https://github.com/typeorm/typeorm
hasura,graphql-engine,27500,https://github.com/hasura/graphql-engine
dbeaver,dbeaver,27400,https://github.com/dbeaver/dbeaver
sequelize,sequelize,26500,https://github.com/sequelize/sequelize
prisma,prisma,24300,https://github.com/prisma/prisma
hollischuang,toBeTopJavaer,23500,https://github.com/hollischuang/toBeTopJavaer
getredash,redash,21400,https://github.com/getredash/redash
mysqljs,mysql,17300,https://github.com/mysqljs/mysql
directus,directus,16900,https://github.com/directus/directus
apache,shardingsphere,16600,https://github.com/apache/shardingsphere
matomo-org,matomo,16600,https://github.com/matomo-org/matomo
itdevbooks,pdf,16600,https://github.com/itdevbooks/pdf
knex,knex,16100,https://github.com/knex/knex
vitessio,vitess,14400,https://github.com/vitessio/vitess
Tencent,APIJSON,13600,https://github.com/Tencent/APIJSON
cube-js,cube.js,13400,https://github.com/cube-js/cube.js
baomidou,mybatis-plus,13200,https://github.com/baomidou/mybatis-plus
dolthub,dolt,12500,https://github.com/dolthub/dolt
go-sql-driver,mysql,12400,https://github.com/go-sql-driver/mysql
zhisheng17,flink-learning,12500,https://github.com/zhisheng17/flink-learning
macrozheng,mall-learning,11100,https://github.com/macrozheng/mall-learning
beekeeper-studio,beekeeper-studio,10800,https://github.com/beekeeper-studio/beekeeper-studio
