username,repo_name,stars,repo_url
huggingface,transformers,67200,https://github.com/huggingface/transformers
apachecn,ailearning,33600,https://github.com/apachecn/ailearning
google-research,bert,31700,https://github.com/google-research/bert
hankcs,HanLP,26400,https://github.com/hankcs/HanLP
explosion,spaCy,23800,https://github.com/explosion/spaCy
oxford-cs-deepnlp-2017,lectures,15400,https://github.com/oxford-cs-deepnlp-2017/lectures
RasaHQ,rasa,14600,https://github.com/RasaHQ/rasa
huggingface,datasets,13800,https://github.com/huggingface/datasets
keon,awesome-nlp,13400,https://github.com/keon/awesome-nlp
virgili0,Virgilio,13300,https://github.com/virgili0/Virgilio
RaRe-Technologies,gensim,13400,https://github.com/RaRe-Technologies/gensim
bharathgs,Awesome-pytorch-list,13200,https://github.com/bharathgs/Awesome-pytorch-list
NLP-LOVE,ML-NLP,12300,https://github.com/NLP-LOVE/ML-NLP
flairNLP,flair,11800,https://github.com/flairNLP/flair
allenai,allennlp,11100,https://github.com/allenai/allennlp
graykode,nlp-tutorial,11200,https://github.com/graykode/nlp-tutorial
ml-tooling,best-of-ml-python,11100,https://github.com/ml-tooling/best-of-ml-python
nltk,nltk,10900,https://github.com/nltk/nltk
spencermountain,compromise,10300,https://github.com/spencermountain/compromise
chiphuyen,stanford-tensorflow-tutorials,10200,https://github.com/chiphuyen/stanford-tensorflow-tutorials
botpress,botpress,9800,https://github.com/botpress/botpress
ashishpatel26,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,9100,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
stanfordnlp,CoreNLP,8600,https://github.com/stanfordnlp/CoreNLP
sloria,TextBlob,8200,https://github.com/sloria/TextBlob
PaddlePaddle,PaddleHub,8200,https://github.com/PaddlePaddle/PaddleHub
dair-ai,ML-YouTube-Courses,7600,https://github.com/dair-ai/ML-YouTube-Courses
brightmart,text_classification,7400,https://github.com/brightmart/text_classification
ymcui,Chinese-BERT-wwm,7200,https://github.com/ymcui/Chinese-BERT-wwm
brightmart,nlp_chinese_corpus,7200,https://github.com/brightmart/nlp_chinese_corpus
crownpku,Awesome-Chinese-NLP,6900,https://github.com/crownpku/Awesome-Chinese-NLP
