username,repo_name,stars,repo_url
nim-lang,Nim,13300,https://github.com/nim-lang/Nim
zedeus,nitter,5100,https://github.com/zedeus/nitter
kaitai-io,kaitai_struct,3100,https://github.com/kaitai-io/kaitai_struct
Dav1dde,glad,2600,https://github.com/Dav1dde/glad
nim-lang,nimble,1000,https://github.com/nim-lang/nimble
mratsim,Arraymancer,957,https://github.com/mratsim/Arraymancer
planety,prologue,927,https://github.com/planety/prologue
yglukhov,nimx,879,https://github.com/yglukhov/nimx
nim-lang,nimforum,680,https://github.com/nim-lang/nimforum
VPashkov,awesome-nim,626,https://github.com/VPashkov/awesome-nim
Pebaz,nimporter,638,https://github.com/Pebaz/nimporter
simonkrauter,NiGui,556,https://github.com/simonkrauter/NiGui
codic12,worm,554,https://github.com/codic12/worm
inim-repl,INim,522,https://github.com/inim-repl/INim
aduros,wasm4,512,https://github.com/aduros/wasm4
arnetheduck,nlvm,497,https://github.com/arnetheduck/nlvm
dom96,choosenim,496,https://github.com/dom96/choosenim
frol,completely-unscientific-benchmarks,491,https://github.com/frol/completely-unscientific-benchmarks
brentp,mosdepth,489,https://github.com/brentp/mosdepth
status-im,nimbus-eth1,456,https://github.com/status-im/nimbus-eth1
ftsf,nico,444,https://github.com/ftsf/nico
aeverj,NimShellCodeLoader,414,https://github.com/aeverj/NimShellCodeLoader
pragmagic,godot-nim,414,https://github.com/pragmagic/godot-nim
xflywind,awesome-nim,390,https://github.com/xflywind/awesome-nim
sinkingsugar,nimtorch,378,https://github.com/sinkingsugar/nimtorch
adeemm,WinAPI-Fun,380,https://github.com/adeemm/WinAPI-Fun
fox0430,moe,381,https://github.com/fox0430/moe
calebwin,pipelines,367,https://github.com/calebwin/pipelines
nim-lang,packages,345,https://github.com/nim-lang/packages
nimterop,nimterop,305,https://github.com/nimterop/nimterop
