username,repo_name,stars,repo_url
dbeaver,dbeaver,27400,https://github.com/dbeaver/dbeaver
mongodb,mongo,22100,https://github.com/mongodb/mongo
pubkey,rxdb,17700,https://github.com/pubkey/rxdb
CodisLabs,codis,12600,https://github.com/CodisLabs/codis
arangodb,arangodb,12400,https://github.com/arangodb/arangodb
neo4j,neo4j,10200,https://github.com/neo4j/neo4j
scylladb,scylla,8100,https://github.com/scylladb/scylla
appbaseio,dejavu,7800,https://github.com/appbaseio/dejavu
mbdavid,LiteDB,6600,https://github.com/mbdavid/LiteDB
apache,zeppelin,5800,https://github.com/apache/zeppelin
madd86,awesome-system-design,5800,https://github.com/madd86/awesome-system-design
linkedin,school-of-sre,5700,https://github.com/linkedin/school-of-sre
oracle,docker-images,5500,https://github.com/oracle/docker-images
msiemens,tinydb,5200,https://github.com/msiemens/tinydb
OpenAtomFoundation,pika,4700,https://github.com/OpenAtomFoundation/pika
orientechnologies,orientdb,4500,https://github.com/orientechnologies/orientdb
dzharii,awesome-elasticsearch,4400,https://github.com/dzharii/awesome-elasticsearch
apache,lucene-solr,4300,https://github.com/apache/lucene-solr
objectbox,objectbox-java,4100,https://github.com/objectbox/objectbox-java
Netflix,dynomite,3900,https://github.com/Netflix/dynomite
cube2222,octosql,3600,https://github.com/cube2222/octosql
nosqlclient,nosqlclient,3400,https://github.com/nosqlclient/nosqlclient
hivedb,hive,3100,https://github.com/hivedb/hive
upper,db,3100,https://github.com/upper/db
ravendb,ravendb,3000,https://github.com/ravendb/ravendb
IoT-Technology,IoT-Technical-Guide,2800,https://github.com/IoT-Technology/IoT-Technical-Guide
HouzuoGuo,tiedot,2700,https://github.com/HouzuoGuo/tiedot
dunwu,db-tutorial,2600,https://github.com/dunwu/db-tutorial
Tencent,Tendis,2400,https://github.com/Tencent/Tendis
gocql,gocql,2300,https://github.com/gocql/gocql
