username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,350000,https://github.com/freeCodeCamp/freeCodeCamp
electron,electron,103000,https://github.com/electron/electron
30-seconds,30-seconds-of-code,100000,https://github.com/30-seconds/30-seconds-of-code
axios,axios,94700,https://github.com/axios/axios
nodejs,node,88900,https://github.com/nodejs/node
goldbergyoni,nodebestpractices,79300,https://github.com/goldbergyoni/nodebestpractices
nvm-sh,nvm,59500,https://github.com/nvm-sh/nvm
expressjs,express,57700,https://github.com/expressjs/express
leonardomso,33-js-concepts,50100,https://github.com/leonardomso/33-js-concepts
nestjs,nest,48800,https://github.com/nestjs/nest
strapi,strapi,46400,https://github.com/strapi/strapi
sindresorhus,awesome-nodejs,45600,https://github.com/sindresorhus/awesome-nodejs
meteor,meteor,42900,https://github.com/meteor/meteor
TryGhost,Ghost,40700,https://github.com/TryGhost/Ghost
nwjs,nw.js,39000,https://github.com/nwjs/nw.js
Unitech,pm2,37400,https://github.com/Unitech/pm2
FreeCodeCampChina,freecodecamp.cn,36500,https://github.com/FreeCodeCampChina/freecodecamp.cn
GitSquared,edex-ui,35700,https://github.com/GitSquared/edex-ui
hexojs,hexo,35100,https://github.com/hexojs/hexo
sahat,hackathon-starter,33400,https://github.com/sahat/hackathon-starter
google,zx,33300,https://github.com/google/zx
nativefier,nativefier,30900,https://github.com/nativefier/nativefier
laurent22,joplin,30800,https://github.com/laurent22/joplin
SheetJS,sheetjs,30700,https://github.com/SheetJS/sheetjs
LeCoupa,awesome-cheatsheets,29600,https://github.com/LeCoupa/awesome-cheatsheets
date-fns,date-fns,29200,https://github.com/date-fns/date-fns
oven-sh,bun,27400,https://github.com/oven-sh/bun
standard,standard,27200,https://github.com/standard/standard
webtorrent,webtorrent,26600,https://github.com/webtorrent/webtorrent
Binaryify,NeteaseCloudMusicApi,24900,https://github.com/Binaryify/NeteaseCloudMusicApi
