username,repo_name,stars,repo_url
vsouza,awesome-ios,40000,https://github.com/vsouza/awesome-ios
serhii-londar,open-source-mac-os-apps,31200,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,31000,https://github.com/dkhamsing/open-source-ios-apps
SDWebImage,SDWebImage,24200,https://github.com/SDWebImage/SDWebImage
NativeScript,NativeScript,21400,https://github.com/NativeScript/NativeScript
hackiftekhar,IQKeyboardManager,15700,https://github.com/hackiftekhar/IQKeyboardManager
realm,realm-swift,15400,https://github.com/realm/realm-swift
OpenEmu,OpenEmu,14000,https://github.com/OpenEmu/OpenEmu
CocoaPods,CocoaPods,13800,https://github.com/CocoaPods/CocoaPods
CoderMJLee,MJRefresh,13600,https://github.com/CoderMJLee/MJRefresh
facebook,infer,13400,https://github.com/facebook/infer
CocoaLumberjack,CocoaLumberjack,12700,https://github.com/CocoaLumberjack/CocoaLumberjack
Instagram,IGListKit,12400,https://github.com/Instagram/IGListKit
SVProgressHUD,SVProgressHUD,12300,https://github.com/SVProgressHUD/SVProgressHUD
kyleneideck,BackgroundMusic,11700,https://github.com/kyleneideck/BackgroundMusic
Mantle,Mantle,11300,https://github.com/Mantle/Mantle
halfrost,Halfrost-Field,11300,https://github.com/halfrost/Halfrost-Field
Tim9Liu9,TimLiu-iOS,11000,https://github.com/Tim9Liu9/TimLiu-iOS
futurice,ios-good-practices,10600,https://github.com/futurice/ios-good-practices
WenchaoD,FSCalendar,10100,https://github.com/WenchaoD/FSCalendar
Quick,Quick,9500,https://github.com/Quick/Quick
Hammerspoon,hammerspoon,9400,https://github.com/Hammerspoon/hammerspoon
MacDownApp,macdown,9000,https://github.com/MacDownApp/macdown
sequelpro,sequelpro,8700,https://github.com/sequelpro/sequelpro
CoderMJLee,MJExtension,8500,https://github.com/CoderMJLee/MJExtension
steipete,Aspects,8300,https://github.com/steipete/Aspects
quicktype,quicktype,8300,https://github.com/quicktype/quicktype
assimp,assimp,8000,https://github.com/assimp/assimp
draveness,analyze,8000,https://github.com/draveness/analyze
olucurious,Awesome-ARKit,7300,https://github.com/olucurious/Awesome-ARKit
