username,repo_name,stars,repo_url
alacritty,alacritty,40400,https://github.com/alacritty/alacritty
kovidgoyal,kitty,15300,https://github.com/kovidgoyal/kitty
google,filament,14300,https://github.com/google/filament
ssloy,tinyrenderer,14100,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,13400,https://github.com/lettier/3d-game-shaders-for-beginners
bkaradzic,bgfx,11800,https://github.com/bkaradzic/bgfx
SFTtech,openage,11100,https://github.com/SFTtech/openage
OpenRCT2,OpenRCT2,10700,https://github.com/OpenRCT2/OpenRCT2
raysan5,raylib,10100,https://github.com/raysan5/raylib
glfw,glfw,9300,https://github.com/glfw/glfw
fogleman,Craft,9300,https://github.com/fogleman/Craft
openframeworks,openFrameworks,9000,https://github.com/openframeworks/openFrameworks
cats-oss,android-gpuimage,8500,https://github.com/cats-oss/android-gpuimage
SFML,SFML,7900,https://github.com/SFML/SFML
isl-org,Open3D,7100,https://github.com/isl-org/Open3D
g-truc,glm,6500,https://github.com/g-truc/glm
baldurk,renderdoc,6500,https://github.com/baldurk/renderdoc
olive-editor,olive,6300,https://github.com/olive-editor/olive
gfx-rs,wgpu,5200,https://github.com/gfx-rs/wgpu
fschutt,azul,5200,https://github.com/fschutt/azul
gfx-rs,gfx,5200,https://github.com/gfx-rs/gfx
openscad,openscad,4900,https://github.com/openscad/openscad
gephi,gephi,4900,https://github.com/gephi/gephi
natario1,CameraView,4400,https://github.com/natario1/CameraView
mapbox,mapbox-gl-native,4200,https://github.com/mapbox/mapbox-gl-native
mosra,magnum,4100,https://github.com/mosra/magnum
ultralight-ux,Ultralight,3900,https://github.com/ultralight-ux/Ultralight
LWJGL,lwjgl3,3900,https://github.com/LWJGL/lwjgl3
flightlessmango,MangoHud,3900,https://github.com/flightlessmango/MangoHud
stenzek,duckstation,3800,https://github.com/stenzek/duckstation
