username,repo_name,stars,repo_url
huihut,interview,25000,https://github.com/huihut/interview
SerenityOS,serenity,20500,https://github.com/SerenityOS/serenity
Awesome-HarmonyOS,HarmonyOS,18600,https://github.com/Awesome-HarmonyOS/HarmonyOS
redox-os,redox,14000,https://github.com/redox-os/redox
s-matyukevich,raspberry-pi-os,11600,https://github.com/s-matyukevich/raspberry-pi-os
reactos,reactos,11200,https://github.com/reactos/reactos
phil-opp,blog_os,10200,https://github.com/phil-opp/blog_os
tuhdo,os01,10100,https://github.com/tuhdo/os01
rust-embedded,rust-raspberrypi-OS-tutorials,8600,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
AkashSingh3031,The-Complete-FAANG-Preparation,8000,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
wolverinn,Waking-Up,7900,https://github.com/wolverinn/Waking-Up
gurugio,lowlevelprogramming-university,7700,https://github.com/gurugio/lowlevelprogramming-university
NodeOS,NodeOS,6700,https://github.com/NodeOS/NodeOS
bottlerocket-os,bottlerocket,6500,https://github.com/bottlerocket-os/bottlerocket
klange,toaruos,5000,https://github.com/klange/toaruos
includeos,IncludeOS,4600,https://github.com/includeos/IncludeOS
yourtion,30dayMakeOS,4600,https://github.com/yourtion/30dayMakeOS
tock,tock,3600,https://github.com/tock/tock
oshi,oshi,3300,https://github.com/oshi/oshi
nuta,kerla,3100,https://github.com/nuta/kerla
ravynsoft,ravynos,2500,https://github.com/ravynsoft/ravynos
nebulet,nebulet,2300,https://github.com/nebulet/nebulet
amilajack,reading,2200,https://github.com/amilajack/reading
armbian,build,2200,https://github.com/armbian/build
theseus-os,Theseus,1900,https://github.com/theseus-os/Theseus
dyweb,papers-notebook,1800,https://github.com/dyweb/papers-notebook
archcraft-os,archcraft,1800,https://github.com/archcraft-os/archcraft
the-akira,Computer-Science-Resources,1800,https://github.com/the-akira/Computer-Science-Resources
PureDarwin,PureDarwin,1700,https://github.com/PureDarwin/PureDarwin
skiftOS,skift,1700,https://github.com/skiftOS/skift
