username,repo_name,stars,repo_url
bitcoin,bitcoin,65400,https://github.com/bitcoin/bitcoin
syncthing,syncthing,45700,https://github.com/syncthing/syncthing
ethereum,go-ethereum,38400,https://github.com/ethereum/go-ethereum
webtorrent,webtorrent,26600,https://github.com/webtorrent/webtorrent
rustdesk,rustdesk,24400,https://github.com/rustdesk/rustdesk
ipfs,ipfs,20900,https://github.com/ipfs/ipfs
HelloZeroNet,ZeroNet,17600,https://github.com/HelloZeroNet/ZeroNet
amark,gun,16200,https://github.com/amark/gun
Chocobozzz,PeerTube,10800,https://github.com/Chocobozzz/PeerTube
peers,peerjs,10500,https://github.com/peers/peerjs
pion,webrtc,9600,https://github.com/pion/webrtc
webtorrent,webtorrent-desktop,8900,https://github.com/webtorrent/webtorrent-desktop
yjs,yjs,8300,https://github.com/yjs/yjs
lbryio,lbry-sdk,7100,https://github.com/lbryio/lbry-sdk
monero-project,monero,7100,https://github.com/monero-project/monero
orbitdb,orbit-db,7100,https://github.com/orbitdb/orbit-db
ipfs,js-ipfs,6900,https://github.com/ipfs/js-ipfs
beakerbrowser,beaker,6600,https://github.com/beakerbrowser/beaker
feross,simple-peer,6400,https://github.com/feross/simple-peer
berty,berty,5800,https://github.com/berty/berty
dragonflyoss,Dragonfly,5800,https://github.com/dragonflyoss/Dragonfly
uber,kraken,5100,https://github.com/uber/kraken
libp2p,go-libp2p,4600,https://github.com/libp2p/go-libp2p
anacrolix,torrent,4400,https://github.com/anacrolix/torrent
ipfs,ipfs-desktop,4400,https://github.com/ipfs/ipfs-desktop
qTox,qTox,4100,https://github.com/qTox/qTox
Tribler,tribler,4100,https://github.com/Tribler/tribler
bisq-network,bisq,4000,https://github.com/bisq-network/bisq
ssbc,patchwork,3500,https://github.com/ssbc/patchwork
webtorrent,instant.io,3100,https://github.com/webtorrent/instant.io
