username,repo_name,stars,repo_url
laravel,laravel,70300,https://github.com/laravel/laravel
LeCoupa,awesome-cheatsheets,29600,https://github.com/LeCoupa/awesome-cheatsheets
laravel,framework,27400,https://github.com/laravel/framework
symfony,symfony,27100,https://github.com/symfony/symfony
ziadoz,awesome-php,26900,https://github.com/ziadoz/awesome-php
composer,composer,26700,https://github.com/composer/composer
guzzle,guzzle,22000,https://github.com/guzzle/guzzle
DesignPatternsPHP,DesignPatternsPHP,20700,https://github.com/DesignPatternsPHP/DesignPatternsPHP
Seldaek,monolog,19800,https://github.com/Seldaek/monolog
nextcloud,server,19600,https://github.com/nextcloud/server
sebastianbergmann,phpunit,18500,https://github.com/sebastianbergmann/phpunit
PHPMailer,PHPMailer,18400,https://github.com/PHPMailer/PHPMailer
bcit-ci,CodeIgniter,18200,https://github.com/bcit-ci/CodeIgniter
swoole,swoole-src,17500,https://github.com/swoole/swoole-src
facebook,hhvm,17300,https://github.com/facebook/hhvm
monicahq,monica,16800,https://github.com/monicahq/monica
matomo-org,matomo,16600,https://github.com/matomo-org/matomo
nikic,PHP-Parser,15500,https://github.com/nikic/PHP-Parser
erusev,parsedown,14200,https://github.com/erusev/parsedown
yiisoft,yii2,14000,https://github.com/yiisoft/yii2
getgrav,grav,13400,https://github.com/getgrav/grav
flarum,flarum,13000,https://github.com/flarum/flarum
CachetHQ,Cachet,12800,https://github.com/CachetHQ/Cachet
filp,whoops,12800,https://github.com/filp/whoops
Intervention,image,12700,https://github.com/Intervention/image
antlr,antlr4,12600,https://github.com/antlr/antlr4
thephpleague,flysystem,12500,https://github.com/thephpleague/flysystem
phacility,phabricator,12300,https://github.com/phacility/phabricator
vlucas,phpdotenv,12000,https://github.com/vlucas/phpdotenv
roots,sage,11800,https://github.com/roots/sage
