username,repo_name,stars,repo_url
kitao,pyxel,10200,https://github.com/kitao/pyxel
pico-8,awesome-PICO-8,2100,https://github.com/pico-8/awesome-PICO-8
picolove,picolove,584,https://github.com/picolove/picolove
dansanderson,picotool,300,https://github.com/dansanderson/picotool
Liquidream,scumm-8,278,https://github.com/Liquidream/scumm-8
jtothebell,fake-08,268,https://github.com/jtothebell/fake-08
torch2424,picoDeploy,192,https://github.com/torch2424/picoDeploy
Jakz,retro8,187,https://github.com/Jakz/retro8
0xcafed00d,tac08,155,https://github.com/0xcafed00d/tac08
Neko250,pico8-api,133,https://github.com/Neko250/pico8-api
seleb,PICO-8-Token-Optimizations,110,https://github.com/seleb/PICO-8-Token-Optimizations
egordorichev,neko8,96,https://github.com/egordorichev/neko8
gamax92,picolove,88,https://github.com/gamax92/picolove
movAX13h,P8Coder,87,https://github.com/movAX13h/P8Coder
Feneric,Minima,77,https://github.com/Feneric/Minima
JoebRogers,PICO-Tween,61,https://github.com/JoebRogers/PICO-Tween
jspicl,jspicl,59,https://github.com/jspicl/jspicl
juanitogan,p8-programming-fonts,66,https://github.com/juanitogan/p8-programming-fonts
freds72,pico8,58,https://github.com/freds72/pico8
andmatand,midi-to-pico8,56,https://github.com/andmatand/midi-to-pico8
gamax92,midi2pico,47,https://github.com/gamax92/midi2pico
musurca,pico2tic,44,https://github.com/musurca/pico2tic
Neko250,sublime-PICO-8,41,https://github.com/Neko250/sublime-PICO-8
ojdon,pico8-boilerplate,41,https://github.com/ojdon/pico8-boilerplate
NangiDev,pico-8-projects,40,https://github.com/NangiDev/pico-8-projects
cauli,picobox,40,https://github.com/cauli/picobox
Enichan,Pico8Platformer,39,https://github.com/Enichan/Pico8Platformer
JoebRogers,PICO-EC,38,https://github.com/JoebRogers/PICO-EC
jozanza,p8,36,https://github.com/jozanza/p8
nateProjects,Pico-8-Cookbook,33,https://github.com/nateProjects/Pico-8-Cookbook
