username,repo_name,stars,repo_url
angular,angular,82800,https://github.com/angular/angular
ionic-team,ionic-framework,47700,https://github.com/ionic-team/ionic-framework
hoppscotch,hoppscotch,45100,https://github.com/hoppscotch/hoppscotch
freeCodeCamp,devdocs,29200,https://github.com/freeCodeCamp/devdocs
GoogleChrome,lighthouse,24900,https://github.com/GoogleChrome/lighthouse
quasarframework,quasar,21600,https://github.com/quasarframework/quasar
qier222,YesPlayMusic,18400,https://github.com/qier222/YesPlayMusic
pubkey,rxdb,17700,https://github.com/pubkey/rxdb
saleor,saleor,16500,https://github.com/saleor/saleor
RobinLinus,snapdrop,12700,https://github.com/RobinLinus/snapdrop
ionic-team,stencil,10900,https://github.com/ionic-team/stencil
vuestorefront,vue-storefront,10000,https://github.com/vuestorefront/vue-storefront
aws-amplify,amplify-js,8800,https://github.com/aws-amplify/amplify-js
OnsenUI,OnsenUI,8600,https://github.com/OnsenUI/OnsenUI
alibaba,rax,7700,https://github.com/alibaba/rax
dailydotdev,daily,7700,https://github.com/dailydotdev/daily
ionic-team,capacitor,7700,https://github.com/ionic-team/capacitor
Lissy93,dashy,6700,https://github.com/Lissy93/dashy
maxence-charriere,go-app,6300,https://github.com/maxence-charriere/go-app
andreasbm,web-skills,6000,https://github.com/andreasbm/web-skills
TalAter,UpUp,4800,https://github.com/TalAter/UpUp
preactjs,preact-cli,4600,https://github.com/preactjs/preact-cli
NekR,offline-plugin,4500,https://github.com/NekR/offline-plugin
angus-c,just,4300,https://github.com/angus-c/just
lauragift21,awesome-learning-resources,4300,https://github.com/lauragift21/awesome-learning-resources
assemble,assemble,4100,https://github.com/assemble/assemble
hemanth,awesome-pwa,4000,https://github.com/hemanth/awesome-pwa
mgechev,angular-performance-checklist,3900,https://github.com/mgechev/angular-performance-checklist
BuilderIO,builder,3500,https://github.com/BuilderIO/builder
SangKa,PWA-Book-CN,3500,https://github.com/SangKa/PWA-Book-CN
