username,repo_name,stars,repo_url
yarnpkg,yarn,40700,https://github.com/yarnpkg/yarn
Homebrew,brew,32800,https://github.com/Homebrew/brew
composer,composer,26700,https://github.com/composer/composer
python-poetry,poetry,20600,https://github.com/python-poetry/poetry
pnpm,pnpm,18400,https://github.com/pnpm/pnpm
microsoft,winget-cli,17400,https://github.com/microsoft/winget-cli
microsoft,vcpkg,16200,https://github.com/microsoft/vcpkg
bower,bower,15100,https://github.com/bower/bower
Carthage,Carthage,14600,https://github.com/Carthage/Carthage
CocoaPods,CocoaPods,13800,https://github.com/CocoaPods/CocoaPods
golang,dep,13000,https://github.com/golang/dep
rust-lang,cargo,8600,https://github.com/rust-lang/cargo
chocolatey,choco,8400,https://github.com/chocolatey/choco
zsh-users,antigen,7200,https://github.com/zsh-users/antigen
ds300,patch-package,7100,https://github.com/ds300/patch-package
NixOS,nix,6500,https://github.com/NixOS/nix
volta-cli,volta,6300,https://github.com/volta-cli/volta
npm,cli,6100,https://github.com/npm/cli
conan-io,conan,6000,https://github.com/conan-io/conan
yarnpkg,berry,5300,https://github.com/yarnpkg/berry
xmake-io,xmake,5200,https://github.com/xmake-io/xmake
sindresorhus,awesome-npm,4000,https://github.com/sindresorhus/awesome-npm
gomods,athens,3900,https://github.com/gomods/athens
whalebrew,whalebrew,3500,https://github.com/whalebrew/whalebrew
wbthomason,packer.nvim,3300,https://github.com/wbthomason/packer.nvim
rubygems,rubygems,3100,https://github.com/rubygems/rubygems
r-darwish,topgrade,3000,https://github.com/r-darwish/topgrade
spack,spack,2900,https://github.com/spack/spack
pdm-project,pdm,2800,https://github.com/pdm-project/pdm
hacs,integration,2800,https://github.com/hacs/integration
