username,repo_name,stars,repo_url
gchq,CyberChef,17000,https://github.com/gchq/CyberChef
antlr,antlr4,12600,https://github.com/antlr/antlr4
samuelcolvin,pydantic,10500,https://github.com/samuelcolvin/pydantic
tree-sitter,tree-sitter,9100,https://github.com/tree-sitter/tree-sitter
DoctorWkt,acwj,6600,https://github.com/DoctorWkt/acwj
jquery,esprima,6600,https://github.com/jquery/esprima
marmelroy,PhoneNumberKit,4600,https://github.com/marmelroy/PhoneNumberKit
Leonidas-from-XIV,node-xml2js,4500,https://github.com/Leonidas-from-XIV/node-xml2js
harc,ohm,4200,https://github.com/harc/ohm
estree,estree,4200,https://github.com/estree/estree
troessner,reek,3800,https://github.com/troessner/reek
SBJson,SBJson,3800,https://github.com/SBJson/SBJson
timofurrer,maya,3300,https://github.com/timofurrer/maya
kach,nearley,3300,https://github.com/kach/nearley
google,wuffs,3200,https://github.com/google/wuffs
pest-parser,pest,3100,https://github.com/pest-parser/pest
lief-project,LIEF,3100,https://github.com/lief-project/LIEF
zserge,jsmn,3000,https://github.com/zserge/jsmn
dotnet,command-line-api,2800,https://github.com/dotnet/command-line-api
Jeffail,gabs,2800,https://github.com/Jeffail/gabs
Knetic,govaluate,2500,https://github.com/Knetic/govaluate
mono,CppSharp,2400,https://github.com/mono/CppSharp
sjdirect,abot,2000,https://github.com/sjdirect/abot
taylorhakes,fecha,2000,https://github.com/taylorhakes/fecha
johnxnguyen,Down,2000,https://github.com/johnxnguyen/Down
Chevrotain,chevrotain,2000,https://github.com/Chevrotain/chevrotain
bradjasper,ImportJSON,1900,https://github.com/bradjasper/ImportJSON
dateutil,dateutil,1800,https://github.com/dateutil/dateutil
comby-tools,comby,1800,https://github.com/comby-tools/comby
rubberduck-vba,Rubberduck,1600,https://github.com/rubberduck-vba/Rubberduck
