username,repo_name,stars,repo_url
learnbyexample,Command-line-text-processing,9900,https://github.com/learnbyexample/Command-line-text-processing
theos,theos,3800,https://github.com/theos/theos
kaitai-io,kaitai_struct,3100,https://github.com/kaitai-io/kaitai_struct
rsnapshot,rsnapshot,2500,https://github.com/rsnapshot/rsnapshot
imapsync,imapsync,2500,https://github.com/imapsync/imapsync
weechat,weechat,2500,https://github.com/weechat/weechat
mojolicious,mojo,2300,https://github.com/mojolicious/mojo
jfcoz,postgresqltuner,2300,https://github.com/jfcoz/postgresqltuner
apache,avro,2200,https://github.com/apache/avro
apache,activemq,2100,https://github.com/apache/activemq
Komodo,KomodoEdit,2000,https://github.com/Komodo/KomodoEdit
hexsum,Mojo-Webqq,1800,https://github.com/hexsum/Mojo-Webqq
munin-monitoring,munin,1700,https://github.com/munin-monitoring/munin
kaxap,arl,1700,https://github.com/kaxap/arl
exiftool,exiftool,1500,https://github.com/exiftool/exiftool
beyondgrep,ack2,1500,https://github.com/beyondgrep/ack2
htrgouvea,nipe,1400,https://github.com/htrgouvea/nipe
Perl,perl5,1400,https://github.com/Perl/perl5
neurobin,shc,1400,https://github.com/neurobin/shc
hexsum,Mojo-Weixin,1200,https://github.com/hexsum/Mojo-Weixin
learnbyexample,scripting_course,1100,https://github.com/learnbyexample/scripting_course
OpenKore,openkore,1100,https://github.com/OpenKore/openkore
onelang,OneLang,996,https://github.com/onelang/OneLang
trizen,youtube-viewer,976,https://github.com/trizen/youtube-viewer
duckduckgo,zeroclickinfo-goodies,969,https://github.com/duckduckgo/zeroclickinfo-goodies
mikaku,Monitorix,965,https://github.com/mikaku/Monitorix
Difegue,LANraragi,947,https://github.com/Difegue/LANraragi
stark,Color-Scripts,913,https://github.com/stark/Color-Scripts
smxi,inxi,907,https://github.com/smxi/inxi
convos-chat,convos,892,https://github.com/convos-chat/convos
