username,repo_name,stars,repo_url
photonstorm,phaser,32100,https://github.com/photonstorm/phaser
nicholas-ochoa,OpenSC2K,4800,https://github.com/nicholas-ochoa/OpenSC2K
ssusnic,Machine-Learning-Flappy-Bird,1700,https://github.com/ssusnic/Machine-Learning-Flappy-Bird
photonstorm,phaser-examples,1700,https://github.com/photonstorm/phaser-examples
channingbreeze,games,1400,https://github.com/channingbreeze/games
lean,phaser-es6-webpack,1300,https://github.com/lean/phaser-es6-webpack
photonstorm,phaser-ce,1200,https://github.com/photonstorm/phaser-ce
oklemenz,PrinceJS,809,https://github.com/oklemenz/PrinceJS
digitsensitive,phaser3-typescript,817,https://github.com/digitsensitive/phaser3-typescript
DragonBones,DragonBonesJS,675,https://github.com/DragonBones/DragonBonesJS
enable3d,enable3d,642,https://github.com/enable3d/enable3d
lifenautjoe,webpack-starter-basic,576,https://github.com/lifenautjoe/webpack-starter-basic
odrick,free-tex-packer,541,https://github.com/odrick/free-tex-packer
jondubois,iogrid,466,https://github.com/jondubois/iogrid
kevinshen56714,SkyOffice,476,https://github.com/kevinshen56714/SkyOffice
rroylance,phaser-ce-npm-webpack-typescript-starter-project,415,https://github.com/rroylance/phaser-ce-npm-webpack-typescript-starter-project
ganlvtech,phaser-catch-the-cat,437,https://github.com/ganlvtech/phaser-catch-the-cat
mailgyc,doudizhu,372,https://github.com/mailgyc/doudizhu
photonstorm,phaser3-docs,383,https://github.com/photonstorm/phaser3-docs
Jerenaux,phaserquest,342,https://github.com/Jerenaux/phaserquest
balajmarius,commit4,336,https://github.com/balajmarius/commit4
yandeu,phaser-project-template,317,https://github.com/yandeu/phaser-project-template
photonstorm,phaser3-typescript-project-template,315,https://github.com/photonstorm/phaser3-typescript-project-template
julien,generator-phaser,259,https://github.com/julien/generator-phaser
mikewesthad,navmesh,263,https://github.com/mikewesthad/navmesh
damian-pastorini,reldens,252,https://github.com/damian-pastorini/reldens
phaserjs,phaser,252,https://github.com/phaserjs/phaser
jsfehler,phaser-ui-tools,226,https://github.com/jsfehler/phaser-ui-tools
proyecto26,ion-phaser,217,https://github.com/proyecto26/ion-phaser
expo,expo-phaser,207,https://github.com/expo/expo-phaser
