username,repo_name,stars,repo_url
TryGhost,Ghost,40700,https://github.com/TryGhost/Ghost
lerna,lerna,33100,https://github.com/lerna/lerna
jgm,pandoc,26000,https://github.com/jgm/pandoc
nteract,papermill,4800,https://github.com/nteract/papermill
Triple-T,gradle-play-publisher,3800,https://github.com/Triple-T/gradle-play-publisher
austintoddj,canvas,3000,https://github.com/austintoddj/canvas
timlrx,tailwind-nextjs-starter-blog,3000,https://github.com/timlrx/tailwind-nextjs-starter-blog
writefreely,writefreely,2800,https://github.com/writefreely/writefreely
substance,substance,2700,https://github.com/substance/substance
themsaid,wink,2700,https://github.com/themsaid/wink
TryGhost,Casper,2400,https://github.com/TryGhost/Casper
intuit,auto,1800,https://github.com/intuit/auto
sile-typesetter,sile,1200,https://github.com/sile-typesetter/sile
w3c,epubcheck,1200,https://github.com/w3c/epubcheck
openjournals,joss,1100,https://github.com/openjournals/joss
substance,texture,977,https://github.com/substance/texture
vanniktech,gradle-maven-publish-plugin,757,https://github.com/vanniktech/gradle-maven-publish-plugin
javiereguiluz,easybook,749,https://github.com/javiereguiluz/easybook
elgohr,Publish-Docker-Github-Action,703,https://github.com/elgohr/Publish-Docker-Github-Action
man-group,notebooker,641,https://github.com/man-group/notebooker
Postleaf,postleaf,513,https://github.com/Postleaf/postleaf
FeatherCMS,feather,540,https://github.com/FeatherCMS/feather
morgan3d,markdeep,466,https://github.com/morgan3d/markdeep
PodcastGenerator,PodcastGenerator,447,https://github.com/PodcastGenerator/PodcastGenerator
pandoc-scholar,pandoc-scholar,424,https://github.com/pandoc-scholar/pandoc-scholar
mityalebedev,The-Shell,399,https://github.com/mityalebedev/The-Shell
TryGhost,Ghost-CLI,384,https://github.com/TryGhost/Ghost-CLI
manubot,rootstock,381,https://github.com/manubot/rootstock
pressbooks,pressbooks,368,https://github.com/pressbooks/pressbooks
manubot,manubot,342,https://github.com/manubot/manubot
