username,repo_name,stars,repo_url
donnemartin,system-design-primer,190000,https://github.com/donnemartin/system-design-primer
tensorflow,tensorflow,166000,https://github.com/tensorflow/tensorflow
CyC2018,CS-Notes,154000,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,140000,https://github.com/TheAlgorithms/Python
vinta,awesome-python,135000,https://github.com/vinta/awesome-python
practical-tutorials,project-based-learning,72700,https://github.com/practical-tutorials/project-based-learning
nvbn,thefuck,72400,https://github.com/nvbn/thefuck
huggingface,transformers,67200,https://github.com/huggingface/transformers
pallets,flask,59900,https://github.com/pallets/flask
keras-team,keras,55700,https://github.com/keras-team/keras
home-assistant,core,54100,https://github.com/home-assistant/core
ansible,ansible,53900,https://github.com/ansible/ansible
scikit-learn,scikit-learn,50800,https://github.com/scikit-learn/scikit-learn
azl397985856,leetcode,48700,https://github.com/azl397985856/leetcode
tiangolo,fastapi,47400,https://github.com/tiangolo/fastapi
apache,superset,47100,https://github.com/apache/superset
ageitgey,face_recognition,45200,https://github.com/ageitgey/face_recognition
scrapy,scrapy,44000,https://github.com/scrapy/scrapy
localstack,localstack,42100,https://github.com/localstack/localstack
microsoft,ML-For-Beginners,39800,https://github.com/microsoft/ML-For-Beginners
Textualize,rich,38600,https://github.com/Textualize/rich
Avik-Jain,100-Days-Of-ML-Code,38000,https://github.com/Avik-Jain/100-Days-Of-ML-Code
ryanoasis,nerd-fonts,36800,https://github.com/ryanoasis/nerd-fonts
CorentinJ,Real-Time-Voice-Cloning,35700,https://github.com/CorentinJ/Real-Time-Voice-Cloning
jakevdp,PythonDataScienceHandbook,35200,https://github.com/jakevdp/PythonDataScienceHandbook
pandas-dev,pandas,34600,https://github.com/pandas-dev/pandas
faif,python-patterns,34500,https://github.com/faif/python-patterns
d2l-ai,d2l-zh,33800,https://github.com/d2l-ai/d2l-zh
apachecn,ailearning,33600,https://github.com/apachecn/ailearning
apache,spark,33400,https://github.com/apache/spark
