username,repo_name,stars,repo_url
flameshot-org,flameshot,18300,https://github.com/flameshot-org/flameshot
Swordfish90,cool-retro-term,17100,https://github.com/Swordfish90/cool-retro-term
matplotlib,matplotlib,15800,https://github.com/matplotlib/matplotlib
SFTtech,openage,11100,https://github.com/SFTtech/openage
PySimpleGUI,PySimpleGUI,10300,https://github.com/PySimpleGUI/PySimpleGUI
therecipe,qt,9300,https://github.com/therecipe/qt
mapeditor,tiled,8900,https://github.com/mapeditor/tiled
jopohl,urh,8400,https://github.com/jopohl/urh
qutebrowser,qutebrowser,8000,https://github.com/qutebrowser/qutebrowser
nodegui,nodegui,7800,https://github.com/nodegui/nodegui
musescore,MuseScore,7300,https://github.com/musescore/MuseScore
spyder-ide,spyder,7100,https://github.com/spyder-ide/spyder
barry-ran,QtScrcpy,7200,https://github.com/barry-ran/QtScrcpy
visualfc,liteide,6900,https://github.com/visualfc/liteide
olive-editor,olive,6300,https://github.com/olive-editor/olive
nodegui,react-nodegui,6000,https://github.com/nodegui/react-nodegui
mapbox,mapbox-gl-native,4200,https://github.com/mapbox/mapbox-gl-native
qTox,qTox,4100,https://github.com/qTox/qTox
moonlight-stream,moonlight-qt,3700,https://github.com/moonlight-stream/moonlight-qt
clementine-player,Clementine,3200,https://github.com/clementine-player/Clementine
r0x0r,pywebview,3000,https://github.com/r0x0r/pywebview
LibreCAD,LibreCAD,2900,https://github.com/LibreCAD/LibreCAD
mixxxdj,mixxx,2900,https://github.com/mixxxdj/mixxx
Serial-Studio,Serial-Studio,2800,https://github.com/Serial-Studio/Serial-Studio
pawelsalawa,sqlitestudio,2800,https://github.com/pawelsalawa/sqlitestudio
Bitmessage,PyBitmessage,2700,https://github.com/Bitmessage/PyBitmessage
nodegui,svelte-nodegui,2700,https://github.com/nodegui/svelte-nodegui
KDAB,hotspot,2700,https://github.com/KDAB/hotspot
vaibhavpandeyvpz,apkstudio,2400,https://github.com/vaibhavpandeyvpz/apkstudio
vooidzero,B23Downloader,2300,https://github.com/vooidzero/B23Downloader
