username,repo_name,stars,repo_url
microsoft,ML-For-Beginners,39800,https://github.com/microsoft/ML-For-Beginners
apache,spark,33400,https://github.com/apache/spark
oracle,graal,17200,https://github.com/oracle/graal
plotly,dash,17000,https://github.com/plotly/dash
facebook,prophet,14700,https://github.com/facebook/prophet
microsoft,LightGBM,14000,https://github.com/microsoft/LightGBM
FavioVazquez,ds-cheatsheets,10800,https://github.com/FavioVazquez/ds-cheatsheets
kanaka,mal,8800,https://github.com/kanaka/mal
catboost,catboost,6600,https://github.com/catboost/catboost
wowchemy,wowchemy-hugo-themes,6600,https://github.com/wowchemy/wowchemy-hugo-themes
h2oai,h2o-3,5900,https://github.com/h2oai/h2o-3
Netflix,metaflow,5800,https://github.com/Netflix/metaflow
curlconverter,curlconverter,5700,https://github.com/curlconverter/curlconverter
tidyverse,ggplot2,5500,https://github.com/tidyverse/ggplot2
qinwf,awesome-R,5100,https://github.com/qinwf/awesome-R
nteract,papermill,4800,https://github.com/nteract/papermill
rstudio,shiny,4700,https://github.com/rstudio/shiny
tidyverse,dplyr,4100,https://github.com/tidyverse/dplyr
hadley,r4ds,3600,https://github.com/hadley/r4ds
jeroenjanssens,data-science-at-the-command-line,3300,https://github.com/jeroenjanssens/data-science-at-the-command-line
h2oai,wave,3000,https://github.com/h2oai/wave
thuquant,awesome-quant,2900,https://github.com/thuquant/awesome-quant
jphall663,awesome-machine-learning-interpretability,2600,https://github.com/jphall663/awesome-machine-learning-interpretability
ml-tooling,ml-workspace,2600,https://github.com/ml-tooling/ml-workspace
rstudio,rmarkdown,2500,https://github.com/rstudio/rmarkdown
SciML,DifferentialEquations.jl,2300,https://github.com/SciML/DifferentialEquations.jl
microsoft,forecasting,2300,https://github.com/microsoft/forecasting
yihui,knitr,2200,https://github.com/yihui/knitr
r-lib,devtools,2200,https://github.com/r-lib/devtools
plotly,plotly.R,2200,https://github.com/plotly/plotly.R
