username,repo_name,stars,repo_url
hoppscotch,hoppscotch,45100,https://github.com/hoppscotch/hoppscotch
nocodb,nocodb,28900,https://github.com/nocodb/nocodb
hasura,graphql-engine,27500,https://github.com/hasura/graphql-engine
httpie,httpie,22600,https://github.com/httpie/httpie
swagger-api,swagger-ui,22400,https://github.com/swagger-api/swagger-ui
Kong,insomnia,21700,https://github.com/Kong/insomnia
gofiber,fiber,21000,https://github.com/gofiber/fiber
microsoft,api-guidelines,19800,https://github.com/microsoft/api-guidelines
parse-community,parse-server,19600,https://github.com/parse-community/parse-server
zeromicro,go-zero,19300,https://github.com/zeromicro/go-zero
swagger-api,swagger-codegen,14600,https://github.com/swagger-api/swagger-codegen
grpc-ecosystem,grpc-gateway,13700,https://github.com/grpc-ecosystem/grpc-gateway
OpenAPITools,openapi-generator,12900,https://github.com/OpenAPITools/openapi-generator
go-chi,chi,11800,https://github.com/go-chi/chi
restify,node-restify,10500,https://github.com/restify/node-restify
r-spacex,SpaceX-API,9400,https://github.com/r-spacex/SpaceX-API
httpie,http-prompt,8500,https://github.com/httpie/http-prompt
cakephp,cakephp,8500,https://github.com/cakephp/cakephp
swagger-api,swagger-editor,7700,https://github.com/swagger-api/swagger-editor
dotnet-architecture,eShopOnWeb,7800,https://github.com/dotnet-architecture/eShopOnWeb
kgrzybek,modular-monolith-with-ddd,7100,https://github.com/kgrzybek/modular-monolith-with-ddd
swagger-api,swagger-core,7000,https://github.com/swagger-api/swagger-core
Sylius,Sylius,6900,https://github.com/Sylius/Sylius
rest-assured,rest-assured,6000,https://github.com/rest-assured/rest-assured
javalin,javalin,5700,https://github.com/javalin/javalin
aisuhua,restful-api-design-references,4900,https://github.com/aisuhua/restful-api-design-references
Tencent,bk-cmdb,4500,https://github.com/Tencent/bk-cmdb
postlight,headless-wp-starter,4200,https://github.com/postlight/headless-wp-starter
hagopj13,node-express-boilerplate,4300,https://github.com/hagopj13/node-express-boilerplate
mockoon,mockoon,4000,https://github.com/mockoon/mockoon
