username,repo_name,stars,repo_url
rails,rails,51100,https://github.com/rails/rails
discourse,discourse,36100,https://github.com/discourse/discourse
gitlabhq,gitlabhq,23000,https://github.com/gitlabhq/gitlabhq
heartcombo,devise,22600,https://github.com/heartcombo/devise
forem,forem,19400,https://github.com/forem/forem
chatwoot,chatwoot,13200,https://github.com/chatwoot/chatwoot
diaspora,diaspora,13100,https://github.com/diaspora/diaspora
spree,spree,11900,https://github.com/spree/spree
activeadmin,activeadmin,9200,https://github.com/activeadmin/activeadmin
kaminari,kaminari,8200,https://github.com/kaminari/kaminari
heartcombo,simple_form,8000,https://github.com/heartcombo/simple_form
thoughtbot,factory_bot,7600,https://github.com/thoughtbot/factory_bot
primer,octicons,7400,https://github.com/primer/octicons
gobuffalo,buffalo,6800,https://github.com/gobuffalo/buffalo
reactjs,react-rails,6500,https://github.com/reactjs/react-rails
presidentbeef,brakeman,6400,https://github.com/presidentbeef/brakeman
paper-trail-gem,paper_trail,6300,https://github.com/paper-trail-gem/paper_trail
rubocop,rails-style-guide,6300,https://github.com/rubocop/rails-style-guide
ankane,searchkick,6000,https://github.com/ankane/searchkick
norman,friendly_id,5900,https://github.com/norman/friendly_id
sj26,mailcatcher,5700,https://github.com/sj26/mailcatcher
mislav,will_paginate,5700,https://github.com/mislav/will_paginate
thoughtbot,administrate,5400,https://github.com/thoughtbot/administrate
rails,webpacker,5300,https://github.com/rails/webpacker
activerecord-hackery,ransack,5200,https://github.com/activerecord-hackery/ransack
CanCanCommunity,cancancan,5200,https://github.com/CanCanCommunity/cancancan
rmosolgo,graphql-ruby,5100,https://github.com/rmosolgo/graphql-ruby
railsgirls,railsgirls.github.io,4600,https://github.com/railsgirls/railsgirls.github.io
aasm,aasm,4600,https://github.com/aasm/aasm
simplecov-ruby,simplecov,4500,https://github.com/simplecov-ruby/simplecov
