username,repo_name,stars,repo_url
home-assistant,core,54100,https://github.com/home-assistant/core
pi-hole,pi-hole,37600,https://github.com/pi-hole/pi-hole
MichMich,MagicMirror,16800,https://github.com/MichMich/MagicMirror
jarun,nnn,14500,https://github.com/jarun/nnn
rwaldron,johnny-five,12700,https://github.com/rwaldron/johnny-five
s-matyukevich,raspberry-pi-os,11600,https://github.com/s-matyukevich/raspberry-pi-os
microsoft,IoT-For-Beginners,10600,https://github.com/microsoft/IoT-For-Beginners
raysan5,raylib,10100,https://github.com/raysan5/raylib
thibmaek,awesome-raspberry-pi,10100,https://github.com/thibmaek/awesome-raspberry-pi
RetroPie,RetroPie-Setup,9500,https://github.com/RetroPie/RetroPie-Setup
therecipe,qt,9300,https://github.com/therecipe/qt
nasa,fprime,8900,https://github.com/nasa/fprime
openframeworks,openFrameworks,9000,https://github.com/openframeworks/openFrameworks
rust-embedded,rust-raspberrypi-OS-tutorials,8600,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
hybridgroup,gobot,7800,https://github.com/hybridgroup/gobot
OctoPrint,OctoPrint,6700,https://github.com/OctoPrint/OctoPrint
MycroftAI,mycroft-core,5900,https://github.com/MycroftAI/mycroft-core
pivpn,pivpn,5400,https://github.com/pivpn/pivpn
pikvm,pikvm,4800,https://github.com/pikvm/pikvm
raspberrypi,documentation,4600,https://github.com/raspberrypi/documentation
SuLingGG,OpenWrt-Rpi,4600,https://github.com/SuLingGG/OpenWrt-Rpi
alexellis,k3sup,4600,https://github.com/alexellis/k3sup
alphacep,vosk-api,4300,https://github.com/alphacep/vosk-api
cuberite,cuberite,4300,https://github.com/cuberite/cuberite
FD-,RPiPlay,4300,https://github.com/FD-/RPiPlay
CCOSTAN,Home-AssistantConfig,3900,https://github.com/CCOSTAN/Home-AssistantConfig
hybridgroup,cylon,3900,https://github.com/hybridgroup/cylon
dtcooper,raspotify,3900,https://github.com/dtcooper/raspotify
navidrome,navidrome,3900,https://github.com/navidrome/navidrome
RaspAP,raspap-webgui,3700,https://github.com/RaspAP/raspap-webgui
