username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,350000,https://github.com/freeCodeCamp/freeCodeCamp
facebook,react,192000,https://github.com/facebook/react
facebook,create-react-app,96100,https://github.com/facebook/create-react-app
justjavac,free-programming-books-zh_CN,94400,https://github.com/justjavac/free-programming-books-zh_CN
vercel,next.js,89800,https://github.com/vercel/next.js
ant-design,ant-design,81100,https://github.com/ant-design/ant-design
mui,material-ui,79900,https://github.com/mui/material-ui
storybookjs,storybook,72900,https://github.com/storybookjs/storybook
gatsbyjs,gatsby,53300,https://github.com/gatsbyjs/gatsby
leonardomso,33-js-concepts,50100,https://github.com/leonardomso/33-js-concepts
enaqx,awesome-react,49600,https://github.com/enaqx/awesome-react
ionic-team,ionic-framework,47700,https://github.com/ionic-team/ionic-framework
apache,superset,47100,https://github.com/apache/superset
vercel,hyper,38900,https://github.com/vercel/hyper
styled-components,styled-components,37000,https://github.com/styled-components/styled-components
FreeCodeCampChina,freecodecamp.cn,36500,https://github.com/FreeCodeCampChina/freecodecamp.cn
typescript-cheatsheets,react,35200,https://github.com/typescript-cheatsheets/react
facebook,docusaurus,35000,https://github.com/facebook/docusaurus
evanw,esbuild,32500,https://github.com/evanw/esbuild
ant-design,ant-design-pro,32500,https://github.com/ant-design/ant-design-pro
preactjs,preact,32299,https://github.com/preactjs/preact
jondot,awesome-react-native,31700,https://github.com/jondot/awesome-react-native
NervJS,taro,31300,https://github.com/NervJS/taro
xitu,gold-miner,31000,https://github.com/xitu/gold-miner
brillout,awesome-react-components,31100,https://github.com/brillout/awesome-react-components
jaredpalmer,formik,30800,https://github.com/jaredpalmer/formik
SheetJS,sheetjs,30700,https://github.com/SheetJS/sheetjs
react-hook-form,react-hook-form,29400,https://github.com/react-hook-form/react-hook-form
TanStack,query,28600,https://github.com/TanStack/query
react-boilerplate,react-boilerplate,28600,https://github.com/react-boilerplate/react-boilerplate
