username,repo_name,stars,repo_url
reduxjs,redux,58400,https://github.com/reduxjs/redux
react-boilerplate,react-boilerplate,28600,https://github.com/react-boilerplate/react-boilerplate
immerjs,immer,23200,https://github.com/immerjs/immer
sudheerj,reactjs-interview-questions,22500,https://github.com/sudheerj/reactjs-interview-questions
redux-saga,redux-saga,22300,https://github.com/redux-saga/redux-saga
reduxjs,react-redux,22200,https://github.com/reduxjs/react-redux
markerikson,react-redux-links,21700,https://github.com/markerikson/react-redux-links
paularmstrong,normalizr,20900,https://github.com/paularmstrong/normalizr
verekia,js-stack-from-scratch,19200,https://github.com/verekia/js-stack-from-scratch
reduxjs,reselect,18700,https://github.com/reduxjs/reselect
responsively-org,responsively-app,16900,https://github.com/responsively-org/responsively-app
dvajs,dva,16000,https://github.com/dvajs/dva
grab,front-end-guide,14500,https://github.com/grab/front-end-guide
infinitered,reactotron,13700,https://github.com/infinitered/reactotron
zalmoxisus,redux-devtools-extension,13400,https://github.com/zalmoxisus/redux-devtools-extension
redux-form,redux-form,12600,https://github.com/redux-form/redux-form
rt2zz,redux-persist,12200,https://github.com/rt2zz/redux-persist
piotrwitek,react-redux-typescript-guide,12200,https://github.com/piotrwitek/react-redux-typescript-guide
Automattic,wp-calypso,12100,https://github.com/Automattic/wp-calypso
xgrommx,awesome-redux,12000,https://github.com/xgrommx/awesome-redux
onivim,oni,11400,https://github.com/onivim/oni
microsoft,frontend-bootcamp,10600,https://github.com/microsoft/frontend-bootcamp
reactide,reactide,10400,https://github.com/reactide/reactide
coryhouse,react-slingshot,9800,https://github.com/coryhouse/react-slingshot
hackjutsu,Lepton,9400,https://github.com/hackjutsu/Lepton
GetStream,Winds,8600,https://github.com/GetStream/Winds
devhubapp,devhub,8300,https://github.com/devhubapp/devhub
rematch,rematch,8100,https://github.com/rematch/rematch
brianegan,flutter_architecture_samples,8000,https://github.com/brianegan/flutter_architecture_samples
alibaba,fish-redux,7300,https://github.com/alibaba/fish-redux
