username,repo_name,stars,repo_url
rails,rails,51100,https://github.com/rails/rails
DopplerHQ,awesome-interview-questions,48000,https://github.com/DopplerHQ/awesome-interview-questions
jekyll,jekyll,45000,https://github.com/jekyll/jekyll
discourse,discourse,36100,https://github.com/discourse/discourse
fastlane,fastlane,35600,https://github.com/fastlane/fastlane
Homebrew,brew,32800,https://github.com/Homebrew/brew
serhii-londar,open-source-mac-os-apps,31200,https://github.com/serhii-londar/open-source-mac-os-apps
SeleniumHQ,selenium,24100,https://github.com/SeleniumHQ/selenium
hashicorp,vagrant,24100,https://github.com/hashicorp/vagrant
gitlabhq,gitlabhq,23000,https://github.com/gitlabhq/gitlabhq
heartcombo,devise,22600,https://github.com/heartcombo/devise
forem,forem,19400,https://github.com/forem/forem
ruby,ruby,19300,https://github.com/ruby/ruby
oracle,graal,17200,https://github.com/oracle/graal
rubocop,ruby-style-guide,16000,https://github.com/rubocop/ruby-style-guide
asdf-vm,asdf,15000,https://github.com/asdf-vm/asdf
rbenv,rbenv,14300,https://github.com/rbenv/rbenv
lewagon,setup,13600,https://github.com/lewagon/setup
diaspora,diaspora,13100,https://github.com/diaspora/diaspora
markets,awesome-ruby,12300,https://github.com/markets/awesome-ruby
capistrano,capistrano,12200,https://github.com/capistrano/capistrano
mperham,sidekiq,11900,https://github.com/mperham/sidekiq
rubocop,rubocop,11900,https://github.com/rubocop/rubocop
spree,spree,11900,https://github.com/spree/spree
postalserver,postal,11900,https://github.com/postalserver/postal
sinatra,sinatra,11600,https://github.com/sinatra/sinatra
Homebrew,homebrew-core,11500,https://github.com/Homebrew/homebrew-core
fluent,fluentd,11300,https://github.com/fluent/fluentd
faker-ruby,faker,10100,https://github.com/faker-ruby/faker
learnbyexample,Command-line-text-processing,9900,https://github.com/learnbyexample/Command-line-text-processing
