username,repo_name,stars,repo_url
denoland,deno,84100,https://github.com/denoland/deno
rust-lang,rust,69000,https://github.com/rust-lang/rust
tauri-apps,tauri,47100,https://github.com/tauri-apps/tauri
alacritty,alacritty,40400,https://github.com/alacritty/alacritty
sharkdp,bat,35800,https://github.com/sharkdp/bat
meilisearch,meilisearch,28000,https://github.com/meilisearch/meilisearch
starship,starship,27400,https://github.com/starship/starship
rust-lang,rustlings,27300,https://github.com/rust-lang/rustlings
rust-unofficial,awesome-rust,27200,https://github.com/rust-unofficial/awesome-rust
rustdesk,rustdesk,24400,https://github.com/rustdesk/rustdesk
sharkdp,fd,23800,https://github.com/sharkdp/fd
AppFlowy-IO,AppFlowy,23600,https://github.com/AppFlowy-IO/AppFlowy
swc-project,swc,23000,https://github.com/swc-project/swc
yewstack,yew,22700,https://github.com/yewstack/yew
servo,servo,21400,https://github.com/servo/servo
nushell,nushell,19900,https://github.com/nushell/nushell
firecracker-microvm,firecracker,18600,https://github.com/firecracker-microvm/firecracker
ogham,exa,18500,https://github.com/ogham/exa
google,flatbuffers,18200,https://github.com/google/flatbuffers
SergioBenitez,Rocket,17900,https://github.com/SergioBenitez/Rocket
dani-garcia,vaultwarden,17300,https://github.com/dani-garcia/vaultwarden
bevyengine,bevy,17200,https://github.com/bevyengine/bevy
tokio-rs,tokio,16800,https://github.com/tokio-rs/tokio
actix,actix-web,14600,https://github.com/actix/actix-web
iced-rs,iced,14500,https://github.com/iced-rs/iced
dandavison,delta,14500,https://github.com/dandavison/delta
redox-os,redox,14000,https://github.com/redox-os/redox
cube-js,cube.js,13400,https://github.com/cube-js/cube.js
valeriansaliou,sonic,13400,https://github.com/valeriansaliou/sonic
Rigellute,spotify-tui,12700,https://github.com/Rigellute/spotify-tui
