username,repo_name,stars,repo_url
apache,spark,33400,https://github.com/apache/spark
pingcap,tidb,31900,https://github.com/pingcap/tidb
bregman-arie,devops-exercises,27900,https://github.com/bregman-arie/devops-exercises
dbeaver,dbeaver,27400,https://github.com/dbeaver/dbeaver
sequelize,sequelize,26500,https://github.com/sequelize/sequelize
cockroachdb,cockroach,25100,https://github.com/cockroachdb/cockroach
ClickHouse,ClickHouse,24600,https://github.com/ClickHouse/ClickHouse
apache,flink,19400,https://github.com/apache/flink
osquery,osquery,19100,https://github.com/osquery/osquery
taosdata,TDengine,18700,https://github.com/taosdata/TDengine
mybatis,mybatis-3,17500,https://github.com/mybatis/mybatis-3
directus,directus,16900,https://github.com/directus/directus
apache,shardingsphere,16600,https://github.com/apache/shardingsphere
knex,knex,16100,https://github.com/knex/knex
DapperLib,Dapper,15100,https://github.com/DapperLib/Dapper
prestodb,presto,13700,https://github.com/prestodb/presto
cube-js,cube.js,13400,https://github.com/cube-js/cube.js
timescale,timescaledb,13400,https://github.com/timescale/timescaledb
dolthub,dolt,12500,https://github.com/dolthub/dolt
go-sql-driver,mysql,12400,https://github.com/go-sql-driver/mysql
beekeeper-studio,beekeeper-studio,10800,https://github.com/beekeeper-studio/beekeeper-studio
rqlite,rqlite,10700,https://github.com/rqlite/rqlite
sql-js,sql.js,10300,https://github.com/sql-js/sql.js
bitwarden,server,10100,https://github.com/bitwarden/server
harelba,q,9100,https://github.com/harelba/q
golang-migrate,migrate,9200,https://github.com/golang-migrate/migrate
questdb,questdb,8900,https://github.com/questdb/questdb
AkashSingh3031,The-Complete-FAANG-Preparation,8000,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
XiaoMi,soar,8000,https://github.com/XiaoMi/soar
codenotary,immudb,7700,https://github.com/codenotary/immudb
