username,repo_name,stars,repo_url
twbs,bootstrap,159000,https://github.com/twbs/bootstrap
bailicangdu,vue2-elm,38700,https://github.com/bailicangdu/vue2-elm
tabler,tabler,26300,https://github.com/tabler/tabler
IanLunn,Hover,26200,https://github.com/IanLunn/Hover
akveo,ngx-admin,23800,https://github.com/akveo/ngx-admin
palantir,blueprint,19100,https://github.com/palantir/blueprint
chatwoot,chatwoot,13200,https://github.com/chatwoot/chatwoot
primer,css,11200,https://github.com/primer/css
stylelint,stylelint,9800,https://github.com/stylelint/stylelint
thoughtbot,bourbon,9100,https://github.com/thoughtbot/bourbon
akveo,nebular,7600,https://github.com/akveo/nebular
jonsuh,hamburgers,6700,https://github.com/jonsuh/hamburgers
linkedin,css-blocks,6300,https://github.com/linkedin/css-blocks
pahen,madge,6300,https://github.com/pahen/madge
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
elastic,eui,5200,https://github.com/elastic/eui
maximegris,angular-electron,5100,https://github.com/maximegris/angular-electron
kazzkiq,balloon.css,4900,https://github.com/kazzkiq/balloon.css
elrumordelaluz,csshake,4700,https://github.com/elrumordelaluz/csshake
thoughtbot,neat,4500,https://github.com/thoughtbot/neat
webpack-contrib,sass-loader,3800,https://github.com/webpack-contrib/sass-loader
RyanFitzgerald,devportfolio,3800,https://github.com/RyanFitzgerald/devportfolio
sass,dart-sass,3100,https://github.com/sass/dart-sass
mojotech,jeet,3000,https://github.com/mojotech/jeet
twbs,rfs,3000,https://github.com/twbs/rfs
KittyGiraudel,sass-boilerplate,3000,https://github.com/KittyGiraudel/sass-boilerplate
Chalarangelo,mini.css,2900,https://github.com/Chalarangelo/mini.css
modularcode,modular-admin-html,2900,https://github.com/modularcode/modular-admin-html
matejlatin,Gutenberg,2800,https://github.com/matejlatin/Gutenberg
olefredrik,FoundationPress,2800,https://github.com/olefredrik/FoundationPress
