username,repo_name,stars,repo_url
trimstray,the-book-of-secret-knowledge,72900,https://github.com/trimstray/the-book-of-secret-knowledge
Hack-with-Github,Awesome-Hacking,53400,https://github.com/Hack-with-Github/Awesome-Hacking
caddyserver,caddy,41700,https://github.com/caddyserver/caddy
Developer-Y,cs-video-courses,39800,https://github.com/Developer-Y/cs-video-courses
swisskyrepo,PayloadsAllTheThings,39200,https://github.com/swisskyrepo/PayloadsAllTheThings
x64dbg,x64dbg,38700,https://github.com/x64dbg/x64dbg
mitmproxy,mitmproxy,28200,https://github.com/mitmproxy/mitmproxy
trailofbits,algo,25800,https://github.com/trailofbits/algo
digitalocean,nginxconfig.io,22100,https://github.com/digitalocean/nginxconfig.io
StevenBlack,hosts,21100,https://github.com/StevenBlack/hosts
OWASP,CheatSheetSeries,21100,https://github.com/OWASP/CheatSheetSeries
FallibleInc,security-guide-for-developers,20300,https://github.com/FallibleInc/security-guide-for-developers
drduh,macOS-Security-and-Privacy-Guide,19300,https://github.com/drduh/macOS-Security-and-Privacy-Guide
hwdsl2,setup-ipsec-vpn,19300,https://github.com/hwdsl2/setup-ipsec-vpn
osquery,osquery,19100,https://github.com/osquery/osquery
OpenZeppelin,openzeppelin-contracts,19000,https://github.com/OpenZeppelin/openzeppelin-contracts
shieldfy,API-Security-Checklist,17400,https://github.com/shieldfy/API-Security-Checklist
matomo-org,matomo,16600,https://github.com/matomo-org/matomo
radareorg,radare2,16600,https://github.com/radareorg/radare2
docker-slim,docker-slim,14000,https://github.com/docker-slim/docker-slim
authelia,authelia,13700,https://github.com/authelia/authelia
keepassxreboot,keepassxc,13300,https://github.com/keepassxreboot/keepassxc
aquasecurity,trivy,12900,https://github.com/aquasecurity/trivy
ory,hydra,12800,https://github.com/ory/hydra
trimstray,nginx-admins-handbook,12800,https://github.com/trimstray/nginx-admins-handbook
Hacker0x01,hacker101,12500,https://github.com/Hacker0x01/hacker101
google,tink,12500,https://github.com/google/tink
imthenachoman,How-To-Secure-A-Linux-Server,12500,https://github.com/imthenachoman/How-To-Secure-A-Linux-Server
cilium,cilium,12500,https://github.com/cilium/cilium
gravitational,teleport,12200,https://github.com/gravitational/teleport
