username,repo_name,stars,repo_url
anuraghazra,github-readme-stats,43700,https://github.com/anuraghazra/github-readme-stats
serverless,serverless,43100,https://github.com/serverless/serverless
Kong,kong,32500,https://github.com/Kong/kong
pingcap,tidb,31900,https://github.com/pingcap/tidb
appwrite,appwrite,23700,https://github.com/appwrite/appwrite
openfaas,faas,21800,https://github.com/openfaas/faas
kriasoft,react-starter-kit,21300,https://github.com/kriasoft/react-starter-kit
firecracker-microvm,firecracker,18600,https://github.com/firecracker-microvm/firecracker
dapr,dapr,18600,https://github.com/dapr/dapr
alibaba,ice,17300,https://github.com/alibaba/ice
prisma,prisma1,16800,https://github.com/prisma/prisma1
cube-js,cube.js,13400,https://github.com/cube-js/cube.js
prisma-archive,chromeless,13200,https://github.com/prisma-archive/chromeless
pulumi,pulumi,13100,https://github.com/pulumi/pulumi
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
firebase,functions-samples,11100,https://github.com/firebase/functions-samples
donnemartin,awesome-aws,10500,https://github.com/donnemartin/awesome-aws
serverless,examples,10300,https://github.com/serverless/examples
apache,apisix,9700,https://github.com/apache/apisix
aws,chalice,9000,https://github.com/aws/chalice
aws,serverless-application-model,8600,https://github.com/aws/serverless-application-model
apex,up,8600,https://github.com/apex/up
cncf,landscape,8400,https://github.com/cncf/landscape
serverless-stack,sst,7600,https://github.com/serverless-stack/sst
fission,fission,7100,https://github.com/fission/fission
vmware-archive,kubeless,6900,https://github.com/vmware-archive/kubeless
node-formidable,formidable,6300,https://github.com/node-formidable/formidable
aws,aws-sam-cli,6000,https://github.com/aws/aws-sam-cli
midwayjs,midway,5900,https://github.com/midwayjs/midway
apache,openwhisk,5700,https://github.com/apache/openwhisk
