username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,148000,https://github.com/ohmyzsh/ohmyzsh
nvbn,thefuck,72400,https://github.com/nvbn/thefuck
nvm-sh,nvm,59500,https://github.com/nvm-sh/nvm
git,git,42900,https://github.com/git/git
tldr-pages,tldr,39500,https://github.com/tldr-pages/tldr
pi-hole,pi-hole,37600,https://github.com/pi-hole/pi-hole
ryanoasis,nerd-fonts,36800,https://github.com/ryanoasis/nerd-fonts
GitSquared,edex-ui,35700,https://github.com/GitSquared/edex-ui
PowerShell,PowerShell,34300,https://github.com/PowerShell/PowerShell
google,zx,33300,https://github.com/google/zx
dylanaraps,pure-bash-bible,31400,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,29300,https://github.com/koalaman/shellcheck
pyenv,pyenv,28000,https://github.com/pyenv/pyenv
acmesh-official,acme.sh,27400,https://github.com/acmesh-official/acme.sh
herrbischoff,awesome-macos-command-line,25900,https://github.com/herrbischoff/awesome-macos-command-line
alebcay,awesome-shell,24100,https://github.com/alebcay/awesome-shell
cmderdev,cmder,23700,https://github.com/cmderdev/cmder
ibraheemdev,modern-unix,23200,https://github.com/ibraheemdev/modern-unix
zsh-users,zsh-autosuggestions,22800,https://github.com/zsh-users/zsh-autosuggestions
nushell,nushell,19900,https://github.com/nushell/nushell
railsware,upterm,19400,https://github.com/railsware/upterm
withfig,autocomplete,19300,https://github.com/withfig/autocomplete
spaceship-prompt,spaceship-prompt,17100,https://github.com/spaceship-prompt/spaceship-prompt
gpakosz,.tmux,17000,https://github.com/gpakosz/.tmux
Nyr,openvpn-install,15400,https://github.com/Nyr/openvpn-install
asdf-vm,asdf,15000,https://github.com/asdf-vm/asdf
zsh-users,zsh-syntax-highlighting,15000,https://github.com/zsh-users/zsh-syntax-highlighting
rbenv,rbenv,14300,https://github.com/rbenv/rbenv
shelljs,shelljs,13300,https://github.com/shelljs/shelljs
Bash-it,bash-it,13000,https://github.com/Bash-it/bash-it
