username,repo_name,stars,repo_url
SpaceVim,SpaceVim,18600,https://github.com/SpaceVim/SpaceVim
wsdjeg,vim-galore-zh_cn,9200,https://github.com/wsdjeg/vim-galore-zh_cn
wsdjeg,.SpaceVim.d,1400,https://github.com/wsdjeg/.SpaceVim.d
wsdjeg,vim-chat,500,https://github.com/wsdjeg/vim-chat
Gabirel,Hack-SpaceVim,423,https://github.com/Gabirel/Hack-SpaceVim
ctjhoa,spacevim,366,https://github.com/ctjhoa/spacevim
wsdjeg,FlyGrep.vim,294,https://github.com/wsdjeg/FlyGrep.vim
wsdjeg,GitHub.vim,193,https://github.com/wsdjeg/GitHub.vim
wsdjeg,JavaUnit.vim,107,https://github.com/wsdjeg/JavaUnit.vim
wsdjeg,imenu.vim,99,https://github.com/wsdjeg/imenu.vim
wsdjeg,job.vim,91,https://github.com/wsdjeg/job.vim
SpaceVim,vim-markdown,73,https://github.com/SpaceVim/vim-markdown
SpaceVim,gtags.vim,70,https://github.com/SpaceVim/gtags.vim
SpaceVim,cscope.vim,66,https://github.com/SpaceVim/cscope.vim
prontera,ideavimrc,67,https://github.com/prontera/ideavimrc
mrbeardad,SpaceVim,54,https://github.com/mrbeardad/SpaceVim
Tehnix,spaceneovim-layers,38,https://github.com/Tehnix/spaceneovim-layers
everettjf,SpaceVimTutorial,12,https://github.com/everettjf/SpaceVimTutorial
lucasprag,vimlociraptor,12,https://github.com/lucasprag/vimlociraptor
techgaun,dotfiles,8,https://github.com/techgaun/dotfiles
wsdjeg,vim-pact,7,https://github.com/wsdjeg/vim-pact
SpaceVim,SpaceVim-theme,7,https://github.com/SpaceVim/SpaceVim-theme
Axect,Socialst,7,https://github.com/Axect/Socialst
wsdjeg,vim-fuzzy,7,https://github.com/wsdjeg/vim-fuzzy
wsdjeg,vim-nim,6,https://github.com/wsdjeg/vim-nim
chrisenytc,spacevim,4,https://github.com/chrisenytc/spacevim
SpaceVim,unite-ctags,3,https://github.com/SpaceVim/unite-ctags
VarunBatraIT,SpaceBox,3,https://github.com/VarunBatraIT/SpaceBox
jackm245,IceVim,2,https://github.com/jackm245/IceVim
paddyredbeard,SpaceVim.d,2,https://github.com/paddyredbeard/SpaceVim.d
