username,repo_name,stars,repo_url
spring-projects,spring-boot,62300,https://github.com/spring-projects/spring-boot
macrozheng,mall,59800,https://github.com/macrozheng/mall
jeecgboot,jeecg-boot,30200,https://github.com/jeecgboot/jeecg-boot
ityouknow,spring-boot-examples,27800,https://github.com/ityouknow/spring-boot-examples
apolloconfig,apollo,27000,https://github.com/apolloconfig/apollo
xkcoding,spring-boot-demo,26200,https://github.com/xkcoding/spring-boot-demo
wuyouzhuguli,SpringAll,23900,https://github.com/wuyouzhuguli/SpringAll
jhipster,generator-jhipster,19700,https://github.com/jhipster/generator-jhipster
elunez,eladmin,18500,https://github.com/elunez/eladmin
linlinjava,litemall,17300,https://github.com/linlinjava/litemall
forezp,SpringCloudLearning,16800,https://github.com/forezp/SpringCloudLearning
YunaiV,SpringBoot-Labs,14700,https://github.com/YunaiV/SpringBoot-Labs
dyc87112,SpringBoot-Learning,14600,https://github.com/dyc87112/SpringBoot-Learning
chuzhixin,vue-admin-better,12500,https://github.com/chuzhixin/vue-admin-better
sqshq,piggymetrics,11700,https://github.com/sqshq/piggymetrics
codecentric,spring-boot-admin,11000,https://github.com/codecentric/spring-boot-admin
apereo,cas,9600,https://github.com/apereo/cas
lihengming,spring-boot-api-project-seed,9100,https://github.com/lihengming/spring-boot-api-project-seed
newbee-ltd,newbee-mall,9100,https://github.com/newbee-ltd/newbee-mall
hs-web,hsweb-framework,7900,https://github.com/hs-web/hsweb-framework
dyc87112,SpringCloud-Learning,7000,https://github.com/dyc87112/SpringCloud-Learning
ityouknow,spring-cloud-examples,5900,https://github.com/ityouknow/spring-cloud-examples
wxiaoqi,Spring-Cloud-Platform,5800,https://github.com/wxiaoqi/Spring-Cloud-Platform
febsteam,FEBS-Shiro,5700,https://github.com/febsteam/FEBS-Shiro
springfox,springfox,5700,https://github.com/springfox/springfox
zhaojun1998,zfile,5600,https://github.com/zhaojun1998/zfile
Netflix,conductor,4600,https://github.com/Netflix/conductor
spring-cloud,spring-cloud-netflix,4600,https://github.com/spring-cloud/spring-cloud-netflix
cloudfavorites,favorites-web,4600,https://github.com/cloudfavorites/favorites-web
hansonwang99,Spring-Boot-In-Action,4400,https://github.com/hansonwang99/Spring-Boot-In-Action
