username,repo_name,stars,repo_url
storybookjs,storybook,72900,https://github.com/storybookjs/storybook
nrwl,nx,13700,https://github.com/nrwl/nx
diegohaz,arc,2800,https://github.com/diegohaz/arc
vuesion,vuesion,2600,https://github.com/vuesion/vuesion
chromaui,learnstorybook.com,2300,https://github.com/chromaui/learnstorybook.com
React95,React95,2200,https://github.com/React95/React95
trungk18,jira-clone-angular,1800,https://github.com/trungk18/jira-clone-angular
AdaptiveConsulting,ReactiveTraderCloud,1700,https://github.com/AdaptiveConsulting/ReactiveTraderCloud
oblador,loki,1500,https://github.com/oblador/loki
BuilderIO,figma-html,1400,https://github.com/BuilderIO/figma-html
danilowoz,react-atomic-design,1400,https://github.com/danilowoz/react-atomic-design
pankod,next-boilerplate,1400,https://github.com/pankod/next-boilerplate
ifmeorg,ifme,1300,https://github.com/ifmeorg/ifme
NiGhTTraX,ts-monorepo,996,https://github.com/NiGhTTraX/ts-monorepo
vue-play,vue-play,977,https://github.com/vue-play/vue-play
TowhidKashem,snapchat-clone,915,https://github.com/TowhidKashem/snapchat-clone
storybookjs,storybook-deployer,809,https://github.com/storybookjs/storybook-deployer
open-sauced,open-sauced,726,https://github.com/open-sauced/open-sauced
pocka,storybook-addon-designs,689,https://github.com/pocka/storybook-addon-designs
aeksco,react-typescript-web-extension-starter,679,https://github.com/aeksco/react-typescript-web-extension-starter
HarveyD,react-component-library,657,https://github.com/HarveyD/react-component-library
storybookjs,react-native,591,https://github.com/storybookjs/react-native
storybook-eol,react-cdk,582,https://github.com/storybook-eol/react-cdk
DTStack,molecule,571,https://github.com/DTStack/molecule
reg-viz,storycap,566,https://github.com/reg-viz/storycap
react-theming,storybook-addon-material-ui,559,https://github.com/react-theming/storybook-addon-material-ui
storybookjs,testing-react,555,https://github.com/storybookjs/testing-react
salihozdemir,stackoverflow-clone,559,https://github.com/salihozdemir/stackoverflow-clone
tuchk4,storybook-readme,534,https://github.com/tuchk4/storybook-readme
WebDevStudios,nextjs-wordpress-starter,539,https://github.com/WebDevStudios/nextjs-wordpress-starter
