username,repo_name,stars,repo_url
frappe,erpnext,11500,https://github.com/frappe/erpnext
zammad,zammad,3100,https://github.com/zammad/zammad
helpyio,helpy,2200,https://github.com/helpyio/helpy
freescout-helpdesk,freescout,1600,https://github.com/freescout-helpdesk/freescout
django-helpdesk,django-helpdesk,1300,https://github.com/django-helpdesk/django-helpdesk
mattmezza,vue-beautiful-chat,1200,https://github.com/mattmezza/vue-beautiful-chat
BadChoice,handesk,1200,https://github.com/BadChoice/handesk
polonel,trudesk,833,https://github.com/polonel/trudesk
bestpractical,rt,675,https://github.com/bestpractical/rt
opensupports,opensupports,684,https://github.com/opensupports/opensupports
rocketshipapps,adblockfast,646,https://github.com/rocketshipapps/adblockfast
fateshen,iOSDeviceSupport,315,https://github.com/fateshen/iOSDeviceSupport
blakmatrix,node-zendesk,313,https://github.com/blakmatrix/node-zendesk
system76,docs,274,https://github.com/system76/docs
spatie,laravel-support-bubble,268,https://github.com/spatie/laravel-support-bubble
pranavpandey,dynamic-support,239,https://github.com/pranavpandey/dynamic-support
BlitzKraig,AndroidResizer,197,https://github.com/BlitzKraig/AndroidResizer
slowtec,tokio-modbus,187,https://github.com/slowtec/tokio-modbus
ARCANEDEV,Support,179,https://github.com/ARCANEDEV/Support
znuny,Znuny,176,https://github.com/znuny/Znuny
novosga,novosga,175,https://github.com/novosga/novosga
ohld,telegram-support-bot,162,https://github.com/ohld/telegram-support-bot
eventum,eventum,146,https://github.com/eventum/eventum
follow-github-organisation,follow-github-organisation,144,https://github.com/follow-github-organisation/follow-github-organisation
cybercussion,SCOBot,149,https://github.com/cybercussion/SCOBot
taskrabbit,react-native-zendesk-chat,112,https://github.com/taskrabbit/react-native-zendesk-chat
RetGal,Dayon,97,https://github.com/RetGal/Dayon
aheze,SupportDocs,111,https://github.com/aheze/SupportDocs
yii2tech,selfupdate,92,https://github.com/yii2tech/selfupdate
risuorg,risu,88,https://github.com/risuorg/risu
