username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,94400,https://github.com/justjavac/free-programming-books-zh_CN
Alamofire,Alamofire,37900,https://github.com/Alamofire/Alamofire
serhii-londar,open-source-mac-os-apps,31200,https://github.com/serhii-londar/open-source-mac-os-apps
xitu,gold-miner,31000,https://github.com/xitu/gold-miner
dkhamsing,open-source-ios-apps,31000,https://github.com/dkhamsing/open-source-ios-apps
iina,iina,30700,https://github.com/iina/iina
shadowsocks,ShadowsocksX-NG,30500,https://github.com/shadowsocks/ShadowsocksX-NG
raywenderlich,swift-algorithm-club,26700,https://github.com/raywenderlich/swift-algorithm-club
SDWebImage,SDWebImage,24200,https://github.com/SDWebImage/SDWebImage
appwrite,appwrite,23700,https://github.com/appwrite/appwrite
ReactiveX,RxSwift,22400,https://github.com/ReactiveX/RxSwift
matteocrippa,awesome-swift,22200,https://github.com/matteocrippa/awesome-swift
vapor,vapor,21900,https://github.com/vapor/vapor
SwiftyJSON,SwiftyJSON,21400,https://github.com/SwiftyJSON/SwiftyJSON
NativeScript,NativeScript,21400,https://github.com/NativeScript/NativeScript
HeroTransitions,Hero,20900,https://github.com/HeroTransitions/Hero
onevcat,Kingfisher,20300,https://github.com/onevcat/Kingfisher
ReactiveCocoa,ReactiveCocoa,20000,https://github.com/ReactiveCocoa/ReactiveCocoa
SnapKit,SnapKit,18600,https://github.com/SnapKit/SnapKit
MonitorControl,MonitorControl,17000,https://github.com/MonitorControl/MonitorControl
realm,SwiftLint,16300,https://github.com/realm/SwiftLint
ipader,SwiftGuide,15700,https://github.com/ipader/SwiftGuide
hackiftekhar,IQKeyboardManager,15700,https://github.com/hackiftekhar/IQKeyboardManager
realm,realm-swift,15400,https://github.com/realm/realm-swift
Tencent,MMKV,14700,https://github.com/Tencent/MMKV
Carthage,Carthage,14600,https://github.com/Carthage/Carthage
Moya,Moya,14100,https://github.com/Moya/Moya
mxcl,PromiseKit,13900,https://github.com/mxcl/PromiseKit
PerfectlySoft,Perfect,13900,https://github.com/PerfectlySoft/Perfect
CocoaPods,CocoaPods,13800,https://github.com/CocoaPods/CocoaPods
