username,repo_name,stars,repo_url
tqdm,tqdm,22500,https://github.com/tqdm/tqdm
DIYgod,RSSHub,20500,https://github.com/DIYgod/RSSHub
DrKLO,Telegram,20400,https://github.com/DrKLO/Telegram
telegramdesktop,tdesktop,19300,https://github.com/telegramdesktop/tdesktop
python-telegram-bot,python-telegram-bot,19200,https://github.com/python-telegram-bot/python-telegram-bot
tinode,chat,9000,https://github.com/tinode/chat
OpenIMSDK,Open-IM-Server,8700,https://github.com/OpenIMSDK/Open-IM-Server
zhukov,webogram,7700,https://github.com/zhukov/webogram
LonamiWebs,Telethon,6700,https://github.com/LonamiWebs/Telethon
yagop,node-telegram-bot-api,6300,https://github.com/yagop/node-telegram-bot-api
ramboxapp,community-edition,6300,https://github.com/ramboxapp/community-edition
eternnoir,pyTelegramBotAPI,5800,https://github.com/eternnoir/pyTelegramBotAPI
telegraf,telegraf,5900,https://github.com/telegraf/telegraf
dillidon,alerts-and-pickers,5400,https://github.com/dillidon/alerts-and-pickers
42wim,matterbridge,5000,https://github.com/42wim/matterbridge
tdlib,td,4800,https://github.com/tdlib/td
pppscn,SmsForwarder,4700,https://github.com/pppscn/SmsForwarder
relatedcode,Messenger,4400,https://github.com/relatedcode/Messenger
meetfranz,franz,4200,https://github.com/meetfranz/franz
Yoctol,bottender,3900,https://github.com/Yoctol/bottender
go-telegram-bot-api,telegram-bot-api,3800,https://github.com/go-telegram-bot-api/telegram-bot-api
PokemonGoF,PokemonGo-Bot,3800,https://github.com/PokemonGoF/PokemonGo-Bot
ro31337,libretaxi,3700,https://github.com/ro31337/libretaxi
goq,telegram-list,3700,https://github.com/goq/telegram-list
php-telegram-bot,core,3200,https://github.com/php-telegram-bot/core
rubenlagus,TelegramBots,3100,https://github.com/rubenlagus/TelegramBots
pyrogram,pyrogram,2800,https://github.com/pyrogram/pyrogram
NekoX-Dev,NekoX,2500,https://github.com/NekoX-Dev/NekoX
irazasyed,telegram-bot-sdk,2400,https://github.com/irazasyed/telegram-bot-sdk
nickoala,telepot,2400,https://github.com/nickoala/telepot
