username,repo_name,stars,repo_url
tensorflow,tensorflow,166000,https://github.com/tensorflow/tensorflow
huggingface,transformers,67200,https://github.com/huggingface/transformers
keras-team,keras,55700,https://github.com/keras-team/keras
aymericdamien,TensorFlow-Examples,42100,https://github.com/aymericdamien/TensorFlow-Examples
CorentinJ,Real-Time-Voice-Cloning,35700,https://github.com/CorentinJ/Real-Time-Voice-Cloning
google-research,bert,31700,https://github.com/google-research/bert
xitu,gold-miner,31000,https://github.com/xitu/gold-miner
ageron,handson-ml,24600,https://github.com/ageron/handson-ml
donnemartin,data-science-ipython-notebooks,23300,https://github.com/donnemartin/data-science-ipython-notebooks
matterport,Mask_RCNN,22000,https://github.com/matterport/Mask_RCNN
photoprism,photoprism,21400,https://github.com/photoprism/photoprism
ray-project,ray,21300,https://github.com/ray-project/ray
deezer,spleeter,20000,https://github.com/deezer/spleeter
mozilla,DeepSpeech,19900,https://github.com/mozilla/DeepSpeech
lutzroeder,netron,19400,https://github.com/lutzroeder/netron
MLEveryday,100-Days-Of-ML-Code,19000,https://github.com/MLEveryday/100-Days-Of-ML-Code
instillai,TensorFlow-Course,16100,https://github.com/instillai/TensorFlow-Course
Tencent,ncnn,15000,https://github.com/Tencent/ncnn
d2l-ai,d2l-en,14200,https://github.com/d2l-ai/d2l-en
justadudewhohacks,face-api.js,14000,https://github.com/justadudewhohacks/face-api.js
huggingface,datasets,13800,https://github.com/huggingface/datasets
virgili0,Virgilio,13300,https://github.com/virgili0/Virgilio
onnx,onnx,12900,https://github.com/onnx/onnx
dragen1860,Deep-Learning-with-TensorFlow-book,12700,https://github.com/dragen1860/Deep-Learning-with-TensorFlow-book
horovod,horovod,12600,https://github.com/horovod/horovod
davidsandberg,facenet,12600,https://github.com/davidsandberg/facenet
microsoft,nni,11700,https://github.com/microsoft/nni
kubeflow,kubeflow,11700,https://github.com/kubeflow/kubeflow
graykode,nlp-tutorial,11200,https://github.com/graykode/nlp-tutorial
ml-tooling,best-of-ml-python,11100,https://github.com/ml-tooling/best-of-ml-python
