username,repo_name,stars,repo_url
hashicorp,terraform,33500,https://github.com/hashicorp/terraform
bregman-arie,devops-exercises,27900,https://github.com/bregman-arie/devops-exercises
MichaelCade,90DaysOfDevOps,15500,https://github.com/MichaelCade/90DaysOfDevOps
GoogleCloudPlatform,terraformer,8000,https://github.com/GoogleCloudPlatform/terraformer
hashicorp,terraform-provider-aws,7500,https://github.com/hashicorp/terraform-provider-aws
infracost,infracost,7400,https://github.com/infracost/infracost
gruntwork-io,terratest,6200,https://github.com/gruntwork-io/terratest
gruntwork-io,terragrunt,6000,https://github.com/gruntwork-io/terragrunt
khuedoan,homelab,5900,https://github.com/khuedoan/homelab
hobby-kube,guide,5200,https://github.com/hobby-kube/guide
runatlantis,atlantis,5000,https://github.com/runatlantis/atlantis
aquasecurity,tfsec,4800,https://github.com/aquasecurity/tfsec
budtmo,docker-android,4700,https://github.com/budtmo/docker-android
bridgecrewio,checkov,4400,https://github.com/bridgecrewio/checkov
KubeOperator,KubeOperator,4400,https://github.com/KubeOperator/KubeOperator
dtan4,terraforming,4300,https://github.com/dtan4/terraforming
clong,DetectionLab,3700,https://github.com/clong/DetectionLab
hashicorp,terraform-cdk,3700,https://github.com/hashicorp/terraform-cdk
kriasoft,relay-starter-kit,3600,https://github.com/kriasoft/relay-starter-kit
hashicorp,terraform-provider-azurerm,3500,https://github.com/hashicorp/terraform-provider-azurerm
tfutils,tfenv,3300,https://github.com/tfutils/tfenv
shuaibiyy,awesome-terraform,3200,https://github.com/shuaibiyy/awesome-terraform
terraform-linters,tflint,3200,https://github.com/terraform-linters/tflint
tenable,terrascan,3200,https://github.com/tenable/terrascan
terraform-aws-modules,terraform-aws-eks,2900,https://github.com/terraform-aws-modules/terraform-aws-eks
terraform-docs,terraform-docs,2900,https://github.com/terraform-docs/terraform-docs
dependabot,dependabot-core,2800,https://github.com/dependabot/dependabot-core
airbnb,streamalert,2700,https://github.com/airbnb/streamalert
ThreeDotsLabs,wild-workouts-go-ddd-example,2600,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
im2nguyen,rover,2000,https://github.com/im2nguyen/rover
