username,repo_name,stars,repo_url
JuliaLang,julia,39900,https://github.com/JuliaLang/julia
plotly,dash,17000,https://github.com/plotly/dash
nteract,papermill,4800,https://github.com/nteract/papermill
fonsp,Pluto.jl,4000,https://github.com/fonsp/Pluto.jl
multiprocessio,datastation,2400,https://github.com/multiprocessio/datastation
SciML,DifferentialEquations.jl,2300,https://github.com/SciML/DifferentialEquations.jl
szcf-weiya,ESL-CN,2000,https://github.com/szcf-weiya/ESL-CN
grame-cncm,faust,1900,https://github.com/grame-cncm/faust
GenieFramework,Genie.jl,1800,https://github.com/GenieFramework/Genie.jl
GiovineItalia,Gadfly.jl,1800,https://github.com/GiovineItalia/Gadfly.jl
jump-dev,JuMP.jl,1800,https://github.com/jump-dev/JuMP.jl
JuliaPlots,Makie.jl,1600,https://github.com/JuliaPlots/Makie.jl
JuliaPlots,Plots.jl,1600,https://github.com/JuliaPlots/Plots.jl
alan-turing-institute,MLJ.jl,1400,https://github.com/alan-turing-institute/MLJ.jl
JuliaData,DataFrames.jl,1400,https://github.com/JuliaData/DataFrames.jl
denizyuret,Knet.jl,1400,https://github.com/denizyuret/Knet.jl
svaksha,Julia.jl,1300,https://github.com/svaksha/Julia.jl
FluxML,Zygote.jl,1200,https://github.com/FluxML/Zygote.jl
JuliaPy,PyCall.jl,1200,https://github.com/JuliaPy/PyCall.jl
JuliaLang,PackageCompiler.jl,1100,https://github.com/JuliaLang/PackageCompiler.jl
julia-vscode,julia-vscode,1100,https://github.com/julia-vscode/julia-vscode
jonathan-laurent,AlphaZero.jl,1000,https://github.com/jonathan-laurent/AlphaZero.jl
mossr,BeautifulAlgorithms.jl,1100,https://github.com/mossr/BeautifulAlgorithms.jl
SciML,ModelingToolkit.jl,1000,https://github.com/SciML/ModelingToolkit.jl
sagemathinc,cocalc,987,https://github.com/sagemathinc/cocalc
JuliaAcademy,JuliaTutorials,997,https://github.com/JuliaAcademy/JuliaTutorials
cormullion,juliamono,981,https://github.com/cormullion/juliamono
JuliaPlots,UnicodePlots.jl,942,https://github.com/JuliaPlots/UnicodePlots.jl
pptacher,probabilistic_robotics,965,https://github.com/pptacher/probabilistic_robotics
JuliaStats,Distributions.jl,895,https://github.com/JuliaStats/Distributions.jl
