username,repo_name,stars,repo_url
microsoft,vscode,134000,https://github.com/microsoft/vscode
denoland,deno,84100,https://github.com/denoland/deno
angular,angular,82800,https://github.com/angular/angular
microsoft,TypeScript,82500,https://github.com/microsoft/TypeScript
ant-design,ant-design,81100,https://github.com/ant-design/ant-design
mui,material-ui,79900,https://github.com/mui/material-ui
storybookjs,storybook,72900,https://github.com/storybookjs/storybook
nestjs,nest,48800,https://github.com/nestjs/nest
ionic-team,ionic-framework,47700,https://github.com/ionic-team/ionic-framework
prettier,prettier,43400,https://github.com/prettier/prettier
DefinitelyTyped,DefinitelyTyped,40000,https://github.com/DefinitelyTyped/DefinitelyTyped
typescript-cheatsheets,react,35200,https://github.com/typescript-cheatsheets/react
vuetifyjs,vuetify,34800,https://github.com/vuetifyjs/vuetify
evanw,esbuild,32500,https://github.com/evanw/esbuild
NervJS,taro,31300,https://github.com/NervJS/taro
microsoft,monaco-editor,30300,https://github.com/microsoft/monaco-editor
react-hook-form,react-hook-form,29400,https://github.com/react-hook-form/react-hook-form
typeorm,typeorm,28800,https://github.com/typeorm/typeorm
oven-sh,bun,27400,https://github.com/oven-sh/bun
angular,angular-cli,25500,https://github.com/angular/angular-cli
mobxjs,mobx,25500,https://github.com/mobxjs/mobx
prisma,prisma,24300,https://github.com/prisma/prisma
akveo,ngx-admin,23800,https://github.com/akveo/ngx-admin
n8n-io,n8n,23400,https://github.com/n8n-io/n8n
swc-project,swc,23000,https://github.com/swc-project/swc
NativeScript,NativeScript,21400,https://github.com/NativeScript/NativeScript
kriasoft,react-starter-kit,21300,https://github.com/kriasoft/react-starter-kit
type-challenges,type-challenges,21300,https://github.com/type-challenges/type-challenges
react-bootstrap,react-bootstrap,20900,https://github.com/react-bootstrap/react-bootstrap
statelyai,xstate,20800,https://github.com/statelyai/xstate
