username,repo_name,stars,repo_url
Nyr,openvpn-install,15400,https://github.com/Nyr/openvpn-install
angristan,openvpn-install,8400,https://github.com/angristan/openvpn-install
dnschneid,crouton,8100,https://github.com/dnschneid/crouton
judasn,Linux-Tutorial,7900,https://github.com/judasn/Linux-Tutorial
oguzhaninan,Stacer,7800,https://github.com/oguzhaninan/Stacer
wszqkzqk,deepin-wine-ubuntu,6000,https://github.com/wszqkzqk/deepin-wine-ubuntu
adi1090x,polybar-themes,4300,https://github.com/adi1090x/polybar-themes
GetPublii,Publii,4000,https://github.com/GetPublii/Publii
boltgolt,howdy,4000,https://github.com/boltgolt/howdy
chef,bento,3900,https://github.com/chef/bento
anmoljagetia,Flatabulous,3700,https://github.com/anmoljagetia/Flatabulous
adi1090x,rofi,3600,https://github.com/adi1090x/rofi
Gictorbit,photoshopCClinux,3500,https://github.com/Gictorbit/photoshopCClinux
dvorka,hstr,3200,https://github.com/dvorka/hstr
johang,btfs,3000,https://github.com/johang/btfs
xflux-gui,fluxgui,2600,https://github.com/xflux-gui/fluxgui
teddysun,lamp,2600,https://github.com/teddysun/lamp
wslutilities,wslu,2300,https://github.com/wslutilities/wslu
armbian,build,2200,https://github.com/armbian/build
aptly-dev,aptly,2200,https://github.com/aptly-dev/aptly
89luca89,distrobox,2000,https://github.com/89luca89/distrobox
Nyr,wireguard-install,1900,https://github.com/Nyr/wireguard-install
chaifeng,ufw-docker,1900,https://github.com/chaifeng/ufw-docker
davestephens,ansible-nas,1900,https://github.com/davestephens/ansible-nas
jamiemcg,Remarkable,1800,https://github.com/jamiemcg/Remarkable
dvorka,mindforger,1800,https://github.com/dvorka/mindforger
archcraft-os,archcraft,1800,https://github.com/archcraft-os/archcraft
piku,piku,1800,https://github.com/piku/piku
GhostWriters,DockSTARTer,1700,https://github.com/GhostWriters/DockSTARTer
plexguide,PlexGuide.com,1600,https://github.com/plexguide/PlexGuide.com
