username,repo_name,stars,repo_url
icsharpcode,ILSpy,15500,https://github.com/icsharpcode/ILSpy
lettier,3d-game-shaders-for-beginners,13400,https://github.com/lettier/3d-game-shaders-for-beginners
Unity-Technologies,ml-agents,13100,https://github.com/Unity-Technologies/ml-agents
Perfare,AssetStudio,8700,https://github.com/Perfare/AssetStudio
rocksdanister,lively,7900,https://github.com/rocksdanister/lively
Tencent,xLua,7800,https://github.com/Tencent/xLua
egametang,ET,6000,https://github.com/egametang/ET
neuecc,UniRx,5900,https://github.com/neuecc/UniRx
sschmid,Entitas-CSharp,5700,https://github.com/sschmid/Entitas-CSharp
microsoft,MixedRealityToolkit-Unity,5200,https://github.com/microsoft/MixedRealityToolkit-Unity
jynew,jynew,5200,https://github.com/jynew/jynew
RyanNielson,awesome-unity,5200,https://github.com/RyanNielson/awesome-unity
ThusWroteNomad,GameNetworkingResources,4800,https://github.com/ThusWroteNomad/GameNetworkingResources
UnityTechnologies,open-project-1,4800,https://github.com/UnityTechnologies/open-project-1
Perfare,Il2CppDumper,4100,https://github.com/Perfare/Il2CppDumper
michidk,Unity-Script-Collection,4100,https://github.com/michidk/Unity-Script-Collection
neuecc,MessagePack-CSharp,4000,https://github.com/neuecc/MessagePack-CSharp
mob-sakai,UIEffect,3900,https://github.com/mob-sakai/UIEffect
anmoljagetia,Flatabulous,3700,https://github.com/anmoljagetia/Flatabulous
ColinLeung-NiloCat,UnityURPToonLitShaderExample,3800,https://github.com/ColinLeung-NiloCat/UnityURPToonLitShaderExample
Unity-Technologies,PostProcessing,3600,https://github.com/Unity-Technologies/PostProcessing
marian42,wavefunctioncollapse,3800,https://github.com/marian42/wavefunctioncollapse
EllanJiang,GameFramework,3900,https://github.com/EllanJiang/GameFramework
ExtendRealityLtd,VRTK,3500,https://github.com/ExtendRealityLtd/VRTK
Cysharp,UniTask,3600,https://github.com/Cysharp/UniTask
ketoo,NoahGameFrame,3500,https://github.com/ketoo/NoahGameFrame
simoninithomas,Deep_reinforcement_learning_Course,3400,https://github.com/simoninithomas/Deep_reinforcement_learning_Course
vis2k,Mirror,3400,https://github.com/vis2k/Mirror
pardeike,Harmony,3300,https://github.com/pardeike/Harmony
zalo,MathUtilities,3200,https://github.com/zalo/MathUtilities
