username,repo_name,stars,repo_url
microsoft,AirSim,13300,https://github.com/microsoft/AirSim
heroiclabs,nakama,6100,https://github.com/heroiclabs/nakama
ThusWroteNomad,GameNetworkingResources,4800,https://github.com/ThusWroteNomad/GameNetworkingResources
Allar,ue5-style-guide,3200,https://github.com/Allar/ue5-style-guide
nxrighthere,UnrealCLR,2300,https://github.com/nxrighthere/UnrealCLR
tomlooman,ActionRoguelike,1900,https://github.com/tomlooman/ActionRoguelike
lgsvl,simulator,1900,https://github.com/lgsvl/simulator
gildor2,UEViewer,1600,https://github.com/gildor2/UEViewer
Tencent,sluaunreal,1500,https://github.com/Tencent/sluaunreal
Gforcex,OpenGraphic,1200,https://github.com/Gforcex/OpenGraphic
Phyronnaz,VoxelPlugin,1200,https://github.com/Phyronnaz/VoxelPlugin
xavier150,Blender-For-UnrealEngine-Addons,1300,https://github.com/xavier150/Blender-For-UnrealEngine-Addons
TriAxis-Games,RuntimeMeshComponent,1200,https://github.com/TriAxis-Games/RuntimeMeshComponent
dyanikoglu,ALS-Community,1200,https://github.com/dyanikoglu/ALS-Community
getnamo,TensorFlow-Unreal,951,https://github.com/getnamo/TensorFlow-Unreal
iniside,ActionRPGGame,888,https://github.com/iniside/ActionRPGGame
ufna,VaRest,882,https://github.com/ufna/VaRest
sideeffects,HoudiniEngineForUnreal,880,https://github.com/sideeffects/HoudiniEngineForUnreal
AsPJT,DungeonTemplateLibrary,856,https://github.com/AsPJT/DungeonTemplateLibrary
ashea-code,BLUI,840,https://github.com/ashea-code/BLUI
ProjectBorealis,PBCharacterMovement,791,https://github.com/ProjectBorealis/PBCharacterMovement
deepdrive,deepdrive,777,https://github.com/deepdrive/deepdrive
Harrison1,unrealcpp,814,https://github.com/Harrison1/unrealcpp
4sval,FModel,665,https://github.com/4sval/FModel
SRombauts,UE4GitPlugin,655,https://github.com/SRombauts/UE4GitPlugin
adamrehn,ue4-docker,616,https://github.com/adamrehn/ue4-docker
Pantong51,GASContent,569,https://github.com/Pantong51/GASContent
BYU-PCCL,holodeck,533,https://github.com/BYU-PCCL/holodeck
hxhb,HotPatcher,544,https://github.com/hxhb/HotPatcher
bw2012,UE4VoxelTerrain,514,https://github.com/bw2012/UE4VoxelTerrain
