username,repo_name,stars,repo_url
hashicorp,vagrant,24100,https://github.com/hashicorp/vagrant
geerlingguy,ansible-for-devops,6000,https://github.com/geerlingguy/ansible-for-devops
Varying-Vagrant-Vagrants,VVV,4600,https://github.com/Varying-Vagrant-Vagrants/VVV
chef,bento,3900,https://github.com/chef/bento
clong,DetectionLab,3700,https://github.com/clong/DetectionLab
ServiceStack,redis-windows,2600,https://github.com/ServiceStack/redis-windows
roots,trellis,2300,https://github.com/roots/trellis
ianmiell,shutit,2100,https://github.com/ianmiell/shutit
vagrant-libvirt,vagrant-libvirt,2000,https://github.com/vagrant-libvirt/vagrant-libvirt
leucos,ansible-tuto,2000,https://github.com/leucos/ansible-tuto
Artemmkin,infrastructure-as-code-tutorial,2000,https://github.com/Artemmkin/infrastructure-as-code-tutorial
geerlingguy,ansible-vagrant-examples,2000,https://github.com/geerlingguy/ansible-vagrant-examples
rootsongjc,kubernetes-vagrant-centos-cluster,1800,https://github.com/rootsongjc/kubernetes-vagrant-centos-cluster
geerlingguy,drupal-vm,1400,https://github.com/geerlingguy/drupal-vm
scottslowe,learning-tools,1400,https://github.com/scottslowe/learning-tools
magma,magma,1300,https://github.com/magma/magma
timsutton,osx-vm-templates,1100,https://github.com/timsutton/osx-vm-templates
hypriot,image-builder-rpi,1100,https://github.com/hypriot/image-builder-rpi
StefanScherer,packer-windows,1000,https://github.com/StefanScherer/packer-windows
vccw-team,vccw,1000,https://github.com/vccw-team/vccw
GoSecure,malboxes,972,https://github.com/GoSecure/malboxes
uber-common,metta,959,https://github.com/uber-common/metta
Parallels,vagrant-parallels,950,https://github.com/Parallels/vagrant-parallels
StefanScherer,windows-docker-machine,848,https://github.com/StefanScherer/windows-docker-machine
oracle,vagrant-projects,785,https://github.com/oracle/vagrant-projects
r8,vagrant-lamp,761,https://github.com/r8/vagrant-lamp
vagrant-landrush,landrush,673,https://github.com/vagrant-landrush/landrush
bacongravy,macinbox,648,https://github.com/bacongravy/macinbox
phansible,phansible,637,https://github.com/phansible/phansible
Sliim,pentest-env,620,https://github.com/Sliim/pentest-env
