username,repo_name,stars,repo_url
neovim,neovim,55800,https://github.com/neovim/neovim
junegunn,fzf,45700,https://github.com/junegunn/fzf
LeCoupa,awesome-cheatsheets,29600,https://github.com/LeCoupa/awesome-cheatsheets
junegunn,vim-plug,28400,https://github.com/junegunn/vim-plug
vim,vim,28000,https://github.com/vim/vim
ycm-core,YouCompleteMe,24100,https://github.com/ycm-core/YouCompleteMe
syl20bnr,spacemacs,22400,https://github.com/syl20bnr/spacemacs
neoclide,coc.nvim,20400,https://github.com/neoclide/coc.nvim
SpaceVim,SpaceVim,18600,https://github.com/SpaceVim/SpaceVim
preservim,nerdtree,17400,https://github.com/preservim/nerdtree
vim-airline,vim-airline,16600,https://github.com/vim-airline/vim-airline
fatih,vim-go,14700,https://github.com/fatih/vim-go
doomemacs,doomemacs,14600,https://github.com/doomemacs/doomemacs
jarun,nnn,14500,https://github.com/jarun/nnn
mhinz,vim-galore,14300,https://github.com/mhinz/vim-galore
powerline,powerline,13400,https://github.com/powerline/powerline
dense-analysis,ale,11900,https://github.com/dense-analysis/ale
ranger,ranger,11800,https://github.com/ranger/ranger
onivim,oni,11400,https://github.com/onivim/oni
helix-editor,helix,10700,https://github.com/helix-editor/helix
NvChad,NvChad,10800,https://github.com/NvChad/NvChad
VSCodeVim,Vim,10700,https://github.com/VSCodeVim/Vim
LunarVim,LunarVim,9500,https://github.com/LunarVim/LunarVim
vnotex,vnote,9500,https://github.com/vnotex/vnote
wsdjeg,vim-galore-zh_cn,9200,https://github.com/wsdjeg/vim-galore-zh_cn
skywind3000,awesome-cheatsheets,9000,https://github.com/skywind3000/awesome-cheatsheets
mawww,kakoune,8200,https://github.com/mawww/kakoune
iggredible,Learn-Vim,8300,https://github.com/iggredible/Learn-Vim
junegunn,fzf.vim,8100,https://github.com/junegunn/fzf.vim
qutebrowser,qutebrowser,8000,https://github.com/qutebrowser/qutebrowser
