username,repo_name,stars,repo_url
mrdoob,three.js,83700,https://github.com/mrdoob/three.js
aframevr,aframe,14400,https://github.com/aframevr/aframe
bulletphysics,bullet3,9500,https://github.com/bulletphysics/bullet3
playcanvas,engine,7500,https://github.com/playcanvas/engine
relativty,Relativty,5700,https://github.com/relativty/Relativty
ExtendRealityLtd,VRTK,3500,https://github.com/ExtendRealityLtd/VRTK
immersive-web,webxr,2500,https://github.com/immersive-web/webxr
viromedia,viro,1900,https://github.com/viromedia/viro
widgetti,ipyvolume,1800,https://github.com/widgetti/ipyvolume
bjornbytes,lovr,1400,https://github.com/bjornbytes/lovr
aframevr,awesome-aframe,1300,https://github.com/aframevr/awesome-aframe
supermedium,aframe-react,1300,https://github.com/supermedium/aframe-react
supermedium,superframe,1200,https://github.com/supermedium/superframe
the3deers,android-3D-model-viewer,1100,https://github.com/the3deers/android-3D-model-viewer
letoram,arcan,1100,https://github.com/letoram/arcan
praydog,REFramework,1000,https://github.com/praydog/REFramework
networked-aframe,networked-aframe,982,https://github.com/networked-aframe/networked-aframe
exokitxr,exokit,919,https://github.com/exokitxr/exokit
reinterpretcat,utymap,878,https://github.com/reinterpretcat/utymap
AsPJT,DungeonTemplateLibrary,856,https://github.com/AsPJT/DungeonTemplateLibrary
immersive-web,webxr-samples,736,https://github.com/immersive-web/webxr-samples
aestheticinteractive,Hover-UI-Kit,725,https://github.com/aestheticinteractive/Hover-UI-Kit
fabio914,RealityMixer,689,https://github.com/fabio914/RealityMixer
aframevr,a-painter,608,https://github.com/aframevr/a-painter
aframevr,aframe-inspector,564,https://github.com/aframevr/aframe-inspector
omgmog,uxofvr.com,532,https://github.com/omgmog/uxofvr.com
KhronosGroup,OpenXR-SDK,509,https://github.com/KhronosGroup/OpenXR-SDK
De-Panther,unity-webxr-export,532,https://github.com/De-Panther/unity-webxr-export
matryx,calcflow,481,https://github.com/matryx/calcflow
rurre,PumkinsAvatarTools,463,https://github.com/rurre/PumkinsAvatarTools
