username,repo_name,stars,repo_url
donnemartin,system-design-primer,190000,https://github.com/donnemartin/system-design-primer
tipsy,profile-summary-for-github,19600,https://github.com/tipsy/profile-summary-for-github
louislam,uptime-kuma,19200,https://github.com/louislam/uptime-kuma
dexteryy,spellbook-of-modern-webdev,15000,https://github.com/dexteryy/spellbook-of-modern-webdev
mickael-kerjean,filestash,6600,https://github.com/mickael-kerjean/filestash
jagenjo,webglstudio.js,4700,https://github.com/jagenjo/webglstudio.js
miguelgrinberg,microblog,4000,https://github.com/miguelgrinberg/microblog
H-M-H,Weylus,3400,https://github.com/H-M-H/Weylus
didi,mpx,3000,https://github.com/didi/mpx
h2oai,wave,3000,https://github.com/h2oai/wave
toolswatch,blackhat-arsenal-tools,2900,https://github.com/toolswatch/blackhat-arsenal-tools
tiangolo,uwsgi-nginx-flask-docker,2700,https://github.com/tiangolo/uwsgi-nginx-flask-docker
modern-js-dev,modern.js,2700,https://github.com/modern-js-dev/modern.js
nisrulz,app-privacy-policy-generator,2700,https://github.com/nisrulz/app-privacy-policy-generator
jakubroztocil,cloudtunes,2500,https://github.com/jakubroztocil/cloudtunes
shadowwalker,next-pwa,2400,https://github.com/shadowwalker/next-pwa
MarnoDev,react-native-open-project,2300,https://github.com/MarnoDev/react-native-open-project
ulisesbocchio,jasypt-spring-boot,2200,https://github.com/ulisesbocchio/jasypt-spring-boot
samuelmaddock,metastream,2100,https://github.com/samuelmaddock/metastream
nitin42,terminal-in-react,2000,https://github.com/nitin42/terminal-in-react
saschagrunert,webapp.rs,2000,https://github.com/saschagrunert/webapp.rs
dbeaver,cloudbeaver,1700,https://github.com/dbeaver/cloudbeaver
ever-co,ever-traduora,1700,https://github.com/ever-co/ever-traduora
bobiscool,wxDraw,1600,https://github.com/bobiscool/wxDraw
ExpDev07,coronavirus-tracker-api,1600,https://github.com/ExpDev07/coronavirus-tracker-api
batnoter,batnoter,1600,https://github.com/batnoter/batnoter
Ajaxy,telegram-tt,1300,https://github.com/Ajaxy/telegram-tt
HolyBugx,HolyTips,1300,https://github.com/HolyBugx/HolyTips
jrieke,traingenerator,1200,https://github.com/jrieke/traingenerator
miroslavpejic85,mirotalk,1200,https://github.com/miroslavpejic85/mirotalk
