username,repo_name,stars,repo_url
PanJiaChen,vue-element-admin,77300,https://github.com/PanJiaChen/vue-element-admin
storybookjs,storybook,72900,https://github.com/storybookjs/storybook
webpack,webpack,61400,https://github.com/webpack/webpack
bailicangdu,vue2-elm,38700,https://github.com/bailicangdu/vue2-elm
akveo,ngx-admin,23800,https://github.com/akveo/ngx-admin
markerikson,react-redux-links,21700,https://github.com/markerikson/react-redux-links
kriasoft,react-starter-kit,21300,https://github.com/kriasoft/react-starter-kit
electron-react-boilerplate,electron-react-boilerplate,19900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
jhipster,generator-jhipster,19700,https://github.com/jhipster/generator-jhipster
verekia,js-stack-from-scratch,19200,https://github.com/verekia/js-stack-from-scratch
mojs,mojs,17600,https://github.com/mojs/mojs
alibaba,ice,17300,https://github.com/alibaba/ice
jamiebuilds,react-loadable,16400,https://github.com/jamiebuilds/react-loadable
SimulatedGREG,electron-vue,15000,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14500,https://github.com/grab/front-end-guide
FormidableLabs,webpack-dashboard,13900,https://github.com/FormidableLabs/webpack-dashboard
bailicangdu,vue2-manage,12000,https://github.com/bailicangdu/vue2-manage
webpack-contrib,webpack-bundle-analyzer,11900,https://github.com/webpack-contrib/webpack-bundle-analyzer
d2-projects,d2-admin,11600,https://github.com/d2-projects/d2-admin
jaredpalmer,razzle,10800,https://github.com/jaredpalmer/razzle
PatrickJS,angular-starter,10400,https://github.com/PatrickJS/angular-starter
jantimon,html-webpack-plugin,10200,https://github.com/jantimon/html-webpack-plugin
ksky521,nodeppt,9800,https://github.com/ksky521/nodeppt
aui,art-template,9700,https://github.com/aui/art-template
timarney,react-app-rewired,9100,https://github.com/timarney/react-app-rewired
gregberge,svgr,8900,https://github.com/gregberge/svgr
akveo,nebular,7600,https://github.com/akveo/nebular
webpack,webpack-dev-server,7400,https://github.com/webpack/webpack-dev-server
chrisvfritz,prerender-spa-plugin,7200,https://github.com/chrisvfritz/prerender-spa-plugin
pastelsky,bundlephobia,7100,https://github.com/pastelsky/bundlephobia
